,median_beta
0,4.536290322580645e-07
1,4.3932879544960406e-07
2,4.3797173311618474e-07
3,4.627557771253445e-07
4,5.007368280048709e-07
5,5.53437851525674e-07
6,6.047311737375352e-07
7,6.834985661035434e-07
8,7.61644282825969e-07
9,8.571663616368129e-07
10,9.517791147441589e-07
11,1.0460571501032082e-06
12,1.1209959201414017e-06
13,1.2349302420260154e-06
14,1.3288936515616572e-06
15,1.4197773852331415e-06
16,1.4792621324470655e-06
17,1.5398880053816138e-06
18,1.6393512441033135e-06
19,1.6860104521883245e-06
20,1.7387522528217615e-06
21,1.8091809158552054e-06
22,1.804159058375603e-06
23,1.8490140757999543e-06
24,1.8469673515224367e-06
25,1.8810363161632752e-06
26,1.8970295267377544e-06
27,1.892104338122968e-06
28,1.9082007132464766e-06
29,1.9025242277450414e-06
30,1.8997946755353264e-06
31,1.8851153617434087e-06
32,1.8856405507210367e-06
33,1.8754973954033944e-06
34,1.899382354005407e-06
35,1.8670826227718454e-06
36,1.8684121418816707e-06
37,1.8659549778528051e-06
38,1.8629727213920448e-06
39,1.8380343491106526e-06
40,1.8575044818990108e-06
41,1.8340904666286228e-06
42,1.8357824040830533e-06
43,1.8339276300378056e-06
44,1.833710429764365e-06
45,1.843883762755101e-06
46,1.8273036182128442e-06
47,1.8223514314488798e-06
48,1.8219003507899498e-06
49,1.8212354006944278e-06
50,1.8315036588395472e-06
51,1.8310666719510298e-06
52,1.8198936633610877e-06
53,1.8349746138555324e-06
54,1.824941161915825e-06
55,1.825579614665338e-06
56,1.8366988151582103e-06
57,1.824267075359817e-06
58,1.8186339962290834e-06
59,1.8304598065224088e-06
60,1.8368462055034448e-06
61,1.834919180488912e-06
62,1.8348595696018889e-06
63,1.8374911399259128e-06
64,1.8378981481232965e-06
65,1.8352143086921357e-06
66,1.8421325577034883e-06
67,1.8425643437834753e-06
68,1.8506501326497914e-06
69,1.8528660305510448e-06
70,1.861064787390853e-06
71,1.8546740482620996e-06
72,1.8573401429322298e-06
73,1.8704935486421548e-06
74,1.8650702976415149e-06
75,1.8596808911455304e-06
76,1.874090053472476e-06
77,1.8653446708841281e-06
78,1.8719513202208059e-06
79,1.8883352858689063e-06
80,1.8941488342031339e-06
81,1.8949315956165381e-06
82,1.8974394531875493e-06
83,1.8979760527050082e-06
84,1.8995134852993866e-06
85,1.9220996785784673e-06
86,1.921612835493884e-06
87,1.933164857740491e-06
88,1.9274724580272164e-06
89,1.938385441699332e-06
90,1.938281021184154e-06
91,1.9458103496963265e-06
92,1.9541220568950496e-06
93,1.9638535100505984e-06
94,1.9821186127338683e-06
95,1.974447649494328e-06
96,1.9915854471322226e-06
97,1.9954755025840704e-06
98,1.9991142289370374e-06
99,2.005428470313771e-06
100,2.0140125291916265e-06
101,2.0310163321558173e-06
102,2.0398533571138885e-06
103,2.0422395287656953e-06
104,2.066608236609331e-06
105,2.0708308870096177e-06
106,2.0809359780156156e-06
107,2.0982591929273216e-06
108,2.1001736451841477e-06
109,2.11901841190262e-06
110,2.131835129702184e-06
111,2.1414646467194258e-06
112,2.157214378793599e-06
113,2.1819274425424133e-06
114,2.1888305085908595e-06
115,2.200866950554246e-06
116,2.225435570513025e-06
117,2.2353510250432333e-06
118,2.25499710513333e-06
119,2.2826262240617735e-06
120,2.29447189048025e-06
121,2.3178493912060465e-06
122,2.3414315222451978e-06
123,2.357346306311228e-06
124,2.375590378609632e-06
125,2.4175116123025978e-06
126,2.4267470028416314e-06
127,2.446794049877825e-06
128,2.4867578826732184e-06
129,2.5205044266517127e-06
130,2.5404852705461124e-06
131,2.5489757262218306e-06
132,2.5878190149343614e-06
133,2.6193486734139665e-06
134,2.6478125647011414e-06
135,2.6947798397863454e-06
136,2.6975302221125687e-06
137,2.728367020958242e-06
138,2.786385168707578e-06
139,2.826784744656051e-06
140,2.843692904160612e-06
141,2.8750886557950012e-06
142,2.910890986459721e-06
143,2.937121684969498e-06
144,2.9902996392959178e-06
145,3.0416534800308877e-06
146,3.0928631998979478e-06
147,3.119256834639828e-06
148,3.1603018284505414e-06
149,3.1775353447017227e-06
150,3.2483861072735313e-06
151,3.2961559551743413e-06
152,3.3428444314455227e-06
153,3.405622068930388e-06
154,3.465052322937793e-06
155,3.459926639778454e-06
156,3.520860534878959e-06
157,3.5961576884309697e-06
158,3.6301104537773623e-06
159,3.7021330247262817e-06
160,3.7647339120363647e-06
161,3.776305967090407e-06
162,3.828789099757492e-06
163,3.861071564978288e-06
164,3.9179069675325954e-06
165,3.9349391711197e-06
166,4.038828999565652e-06
167,4.048515903705532e-06
168,4.113288446711406e-06
169,4.197631329823951e-06
170,4.163213300054383e-06
171,4.228082970844074e-06
172,4.312033110491291e-06
173,4.333802973318915e-06
174,4.389130022568797e-06
175,4.384923074450828e-06
176,4.4223456808846765e-06
177,4.48567474860571e-06
178,4.548420440220034e-06
179,4.608647847495799e-06
180,4.6073779655596395e-06
181,4.56463755301144e-06
182,4.598433026046426e-06
183,4.640834588427638e-06
184,4.6842865338418e-06
185,4.649796258591083e-06
186,4.707272347946401e-06
187,4.667555275407123e-06
188,4.784108581735283e-06
189,4.738672461330526e-06
190,4.663267413012832e-06
191,4.80433928516176e-06
192,4.859448185391715e-06
193,4.727193066438821e-06
194,4.654197046596714e-06
195,4.7260840432104176e-06
196,4.672707357074511e-06
197,4.671744779760513e-06
198,4.603616734524159e-06
199,4.681888189216738e-06
200,4.579383052476457e-06
201,4.4597693849596e-06
202,4.717150203977939e-06
203,4.524124220132489e-06
204,4.743294044491801e-06
205,4.325646577491878e-06
206,4.6987760157738075e-06
207,4.302052428388437e-06
208,4.374028584343882e-06
209,4.406243886368947e-06
210,4.343427530277526e-06
211,4.301845616496749e-06
212,4.183138316747328e-06
213,4.357747320456237e-06
214,4.229824699668143e-06
215,4.1496646642802264e-06
216,4.202137585908039e-06
217,4.116230069288432e-06
218,4.2025442847763295e-06
219,4.19592252198386e-06
220,4.183720399830971e-06
221,4.110209350960817e-06
222,4.229068899784481e-06
223,4.119559769767245e-06
224,4.0911089907514515e-06
225,4.110931298715232e-06
226,4.186831614323166e-06
227,4.3057460597302775e-06
228,4.1618117479989314e-06
229,4.296482004186508e-06
230,4.142980667311278e-06
231,4.137251139496387e-06
232,4.117611982890574e-06
233,4.091522433587665e-06
234,4.222619418511848e-06
235,4.1506326500241694e-06
236,3.941559515251449e-06
237,4.059675665212111e-06
238,4.127696386240402e-06
239,4.175861082805724e-06
240,4.047864296528816e-06
241,4.006145569776687e-06
242,4.007049415126856e-06
243,3.894029529577214e-06
244,3.540761722445154e-06
245,3.046911053318903e-06
246,3.7262212214346357e-06
247,3.2131071785450413e-06
248,3.0997809969345675e-06
249,0.0
