rmse_I,rmse_Beta,r2,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
0.8709325452596257,7.374904472172169e-06,0.8641180038707864,0.010993480682373047,0,10,10.0,1,0
0.9474593499101235,9.999999999999994e-08,0.8545759664033976,0.004999637603759766,0,10,10.0,1,0
1.8303551374702525,7.788709736032492e-06,0.20985850724911637,0.013000726699829102,0,10,10.0,1,0
0.7839388528384528,1.4072737298348303e-06,0.9117625395415843,0.0060002803802490234,0,10,10.0,1,0
1.078403525972779,9.999999999999994e-08,0.8727690289832792,0.0050029754638671875,0,10,10.0,1,0
2.3441318655636416,2.4362988424536053e-06,0.33394494507262085,0.005999326705932617,0,10,10.0,1,0
1.4775345098447572,9.999999999999994e-08,0.614745606861967,0.008007287979125977,0,10,10.0,1,0
0.9669330950608703,9.999999999999994e-08,0.9039527848142286,0.003995418548583984,0,10,10.0,1,0
1.918057903130825,9.999999999999994e-08,0.4713153438345882,0.005996227264404297,0,10,10.0,1,0
1.5566399471610741,8.8896227668854e-06,0.16504593113948562,0.012999773025512695,0,10,10.0,1,0
2.2601863637513966,9.999999999999996e-08,0.6113141653020182,0.004999876022338867,0,10,10.0,1,0
2.006533977126579,3.8846300675514455e-06,0.3388699666779781,0.009999513626098633,0,10,10.0,1,0
3.3715678271241685,2.351791742113436e-06,-0.1731151398362425,0.010998964309692383,0,10,10.0,1,0
2.7762862152035708,7.427271774197527e-07,-0.5056897207082107,0.010003328323364258,0,10,10.0,1,0
2.8886661246008383,4.84333118145496e-06,-0.6041568694053827,0.017998456954956055,0,10,10.0,1,0
1.6198754971975595,4.473740747257394e-06,0.07353147270693317,0.024001359939575195,0,10,10.0,1,0
1.4130345478110504,9.999999999999994e-08,0.8159754255016055,0.006999492645263672,0,10,10.0,1,0
0.26100293432439114,3.6796643713068466e-07,0.9911223296420979,0.007999420166015625,0,10,10.0,1,0
1.797339255841109,1.6874878253739828e-06,0.32119636052847655,0.009001970291137695,0,10,10.0,1,0
2.6705926027145446,3.256217479400802e-06,-0.7193889797519903,0.01900029182434082,0,10,10.0,1,0
1.2278684302444625,9.999999999999994e-08,0.7771523148881916,0.004999876022338867,0,10,10.0,1,0
1.6120989848843965,2.524022729829862e-06,0.5796231446156055,0.010998964309692383,0,10,10.0,1,0
2.235520543683692,2.9176484267438693e-06,0.40722691072774764,0.009999752044677734,0,10,10.0,1,0
0.9078200800277643,1.0357939002528978e-06,0.9064543362427223,0.005999565124511719,0,10,10.0,1,0
1.1585419657477165,1.2423346360274195e-06,0.7590697431616947,0.007997274398803711,0,10,10.0,1,0
1.842291659414985,3.7335076257673394e-06,-0.6672871354697876,0.016998767852783203,0,10,10.0,1,0
0.8265714033861573,9.999999999999994e-08,0.8763961492725895,0.007999658584594727,0,10,10.0,1,0
2.5996388320908665,1.7194509200538925e-06,-0.1472213894169374,0.027993440628051758,0,10,10.0,1,0
1.7013954329705283,3.064466325611132e-06,0.6374909325375337,0.016000032424926758,0,10,10.0,1,0
2.373610659453554,7.334007177806346e-06,0.19333833554590973,0.005999326705932617,0,10,10.0,1,0
1.5437713065639544,1.0397075110367442e-05,0.5570173615434909,0.011999368667602539,0,10,10.0,1,0
1.8091918772921958,9.397395957400177e-06,0.46340811020520023,0.0169985294342041,0,10,10.0,1,0
0.8268421700935072,1.4149756647295936e-06,0.918059714906234,0.009998798370361328,0,10,10.0,1,0
0.599490662699942,9.999999999999994e-08,0.9621695731932194,0.0070002079010009766,0,10,10.0,1,0
2.0993290893202143,7.511310532101582e-06,0.08322285955550746,0.017000198364257812,0,10,10.0,1,0
1.0439432138118816,2.1516795302095476e-06,0.8841640589376127,0.00799870491027832,0,10,10.0,1,0
2.6025192009632794,7.709080374534313e-07,0.45074138851072443,0.008001565933227539,0,11,10.0,3,0
1.4396474590724802,7.044526449531605e-06,0.6737431549313846,0.014000415802001953,0,10,10.0,1,0
0.6730257697361485,9.999999999999993e-08,0.953605537541097,0.006999492645263672,0,10,10.0,1,0
1.42873482829745,2.129164826823359e-06,0.744839598801232,0.006998538970947266,0,10,10.0,1,0
1.6290648535899748,7.475877395733074e-06,0.2544430511362118,0.012998819351196289,0,10,10.0,1,0
1.0851915638237595,8.730800455600039e-07,0.8771157498927732,0.00599980354309082,0,10,10.0,1,0
0.9998427311425864,6.092543270019095e-06,0.7830731952480978,0.014999628067016602,0,10,10.0,1,0
0.7500870786880417,9.999999999999994e-08,0.9272558383043542,0.003999948501586914,0,10,10.0,1,0
0.8247502337421853,9.208318802995111e-07,0.896807910034321,0.007003307342529297,0,10,10.0,1,0
1.1890123884258772,6.063169441461109e-06,0.845888463387878,0.005999326705932617,0,10,10.0,1,0
0.7730801229337825,7.060406235859676e-07,0.8920156714676738,0.0069963932037353516,0,10,10.0,1,0
1.2095814125276165,1.3369285998406397e-06,0.8020335543983652,0.007999181747436523,0,10,10.0,1,0
3.158726035552167,4.8751283090052866e-06,-0.7292788058666613,0.018000364303588867,0,10,10.0,1,0
0.7627693587929768,1.1904616734153808e-06,0.9203717479862981,0.006997585296630859,0,10,10.0,1,0
1.7002623667033843,4.512957663739369e-06,0.06109634423726973,0.017000198364257812,0,10,10.0,1,0
1.819889120393806,3.7148933491566017e-06,0.13438501053356433,0.01199960708618164,0,10,10.0,1,0
0.999185730920047,1.2796175541569545e-06,0.8290523201276675,0.010998010635375977,0,10,10.0,1,0
2.6533482778425292,4.037873788329349e-06,-0.5992508276065514,0.026000261306762695,0,10,10.0,1,0
1.2690381637393462,3.1000800110185002e-06,0.6207599740584371,0.01100015640258789,0,10,10.0,1,0
2.257142602026442,2.1234248888536855e-06,-0.28125456945561855,0.010002613067626953,0,10,10.0,1,0
1.62790108467639,9.999999999999994e-08,0.6697615119065601,0.005999088287353516,0,10,10.0,1,0
1.379999995045728,9.999999999999993e-08,0.7079459186124051,0.01412057876586914,0,10,10.0,1,0
1.7800887722538976,1.9916914105630473e-06,0.5817643360742145,0.008000612258911133,0,10,10.0,1,0
1.4923819770188123,9.999999999999993e-08,0.6097189313088938,0.007999420166015625,0,10,10.0,1,0
0.7170332089574321,9.999999999999993e-08,0.9483568124472084,0.007996320724487305,0,10,10.0,1,0
1.3363518147000417,9.6879116492408e-06,0.41000361258456386,0.016002655029296875,0,10,10.0,1,0
0.9234038988344805,8.762701062427418e-07,0.8803916327393317,0.008001089096069336,0,10,10.0,1,0
1.701270935908442,2.560728402259072e-06,0.6820138630695685,0.007994890213012695,0,10,10.0,1,0
1.1868685402500163,8.982625793679913e-07,0.8330975199247388,0.0060002803802490234,0,10,10.0,1,0
2.3274893664938867,4.380191082267877e-06,0.38396029485738337,0.012000560760498047,0,10,10.0,1,0
1.7617640653548456,5.758925299170254e-06,0.41992144501777817,0.012999773025512695,0,10,10.0,1,0
0.984070130627122,2.2281729095350648e-06,0.8318113747861616,0.008002042770385742,0,10,10.0,1,0
0.9136112247279815,1.2871264834500034e-06,0.8782221806761392,0.0069997310638427734,0,10,10.0,1,0
0.9196210828693858,5.76887148971568e-06,0.8329384015689035,0.01200103759765625,0,10,10.0,1,0
1.811685689907785,1.0400040380500008e-06,0.5623726614644472,0.010999441146850586,0,10,10.0,1,0
0.5827789409677587,5.707571747342202e-07,0.9517675463623854,0.009998798370361328,0,10,10.0,1,0
