,median_beta
158,5.210124132806343e-06
159,5.433867178134202e-06
160,5.19293019963053e-06
161,5.130067597836115e-06
162,5.049731190406242e-06
163,5.208708827673093e-06
164,5.135747698861908e-06
165,5.214606599836389e-06
166,5.2505476277965e-06
167,5.1567172773910844e-06
168,5.098697467553876e-06
169,5.240770606667922e-06
170,5.098534121667666e-06
171,5.2063665196898414e-06
172,5.094251836698673e-06
173,4.99044366993902e-06
174,5.098779629141003e-06
175,5.099777266027848e-06
176,4.968899776511488e-06
177,5.029654182652468e-06
178,5.0484997613233535e-06
179,5.25883241852233e-06
180,4.950636845608178e-06
181,4.975663060223998e-06
182,4.919367366757199e-06
183,4.9537826019668566e-06
184,5.033164596513367e-06
185,4.8686425677792654e-06
186,4.8013881856682574e-06
187,4.98260701685327e-06
188,4.8253378968390865e-06
189,4.9617131937681e-06
190,4.533736111275732e-06
191,4.746841247416093e-06
192,4.311992758350693e-06
193,4.799491595746528e-06
194,4.171497181463481e-06
195,4.387133679900407e-06
196,3.850887923074309e-06
197,3.848437622096368e-06
198,3.711354447285582e-06
199,3.832382128749283e-06
200,3.59749594223816e-06
201,3.5275837243160946e-06
202,3.605332439650238e-06
203,3.477764573759844e-06
204,3.473104793584493e-06
205,3.418531182225216e-06
206,3.514634938183513e-06
207,3.3826184568888582e-06
208,3.377790659284555e-06
209,3.449343165804023e-06
210,3.4778935612827324e-06
211,3.4183766358940172e-06
212,3.3510185555254097e-06
213,3.3932435506730403e-06
214,3.4608211794485326e-06
215,3.236783160352325e-06
216,3.37232389743416e-06
217,3.353168826325483e-06
218,3.303236285325494e-06
219,3.29553497995455e-06
220,3.347347870888222e-06
221,3.260578387885354e-06
222,3.2872821627686804e-06
223,3.3006185131464773e-06
224,3.2282607818407395e-06
225,3.2905391193484992e-06
226,3.3066521985956425e-06
227,3.06598476456159e-06
228,3.0463569343422293e-06
229,3.181689604447546e-06
230,2.9735967008983908e-06
231,3.0227615186155436e-06
232,2.8229044967485424e-06
233,2.9383386128344183e-06
234,2.646335751202098e-06
235,2.5053402682054783e-06
236,3.081399566542197e-06
237,2.0217540738344588e-06
238,2.5652524429948435e-06
239,2.7614160485635887e-06
240,1.7195782124483034e-06
241,1.8761248360665844e-06
242,1.8119487146035816e-06
243,2.0719001619305293e-06
244,2.4519646793421868e-06
245,1.8285649555535892e-06
246,1.2541087738703928e-06
247,1.7057888276647723e-06
248,1.6499638560372657e-06
249,0.0
250,
