rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
65.07710928304434,19.5404480026194,1.891434372728733e-05,0.9285280237073458,0.887541028523785,0.008056640625,0,765,730.98885082243,211.0,178.8708355108747,11,17,4,2
53.792553762227584,18.254855821801314,4.849126283201919e-06,0.9510773158114205,0.8863235364241001,0.0,0,770,787.5743271334784,202.0,183.84071229982078,11,17,4,2
63.08707258366097,19.458467592346633,1.2679358183512772e-05,0.9463681890928617,0.9001973825070371,0.0,0,844,849.4773836160591,232.0,188.81058908876685,11,18,7,2
195.3448263959463,41.915042509964195,7.485190927088305e-06,0.777156936034886,0.7862233825358346,0.01003885269165039,0,1217,1141.4227354728246,281.0,241.59672061764695,23,19,5,16
361.0272116400144,77.68528195436203,4.767732225605951e-05,0.7032201541888514,0.706948251329206,0.00802159309387207,0,1893,1320.0422541647713,404.0,280.60771989926116,18,20,15,17
298.26734812703324,62.131721125606525,1.0744718821961148e-05,0.6918525587000921,0.7101044900230982,0.0,0,1464,1417.4828250382716,322.0,301.79932638971945,27,21,8,17
374.13968624607304,78.14402424582599,1.2380528892805907e-05,0.7050538787258913,0.7120841083002554,0.00202178955078125,0,1940,1522.5910255426634,405.0,324.138193242884,30,21,22,17
723.8401145660354,145.47612903080545,2.6798820401556053e-05,0.6470531071363793,0.6694252748846783,0.00804758071899414,0,3581,2146.266513700477,764.0,457.4068144848445,27,22,25,18
661.7565727748223,140.4909773823186,1.9083309053211494e-06,0.92379600900198,0.9205654968619387,0.0,14,6586,5879.2541543291545,1475.0,1347.8999999999987,25,19,20,15
795.5260728608704,169.30855294675004,1.613324831657952e-06,0.9203425421826246,0.9218286056061685,0.0,11,7804,6463.196440484771,1745.0,1408.9657409238534,22,19,20,16
1048.576551666746,219.08223640800193,5.6889261233972016e-06,0.8597859462413822,0.8603876260966061,0.002019643783569336,14,7947,6040.31391232444,1839.0,1386.300000000001,26,21,22,15
1047.455229121051,233.15774271496468,2.935689629397503e-06,0.8971613854721621,0.8926453139027438,0.008024930953979492,10,9377,6958.001723977897,2098.0,1519.8196205976355,24,20,19,17
1057.3046801195537,244.46483280360394,2.8611266206144974e-06,0.9097457156137363,0.9007415351270501,0.0,9,10296,7544.34500692258,2371.0,1650.6889289491937,22,20,19,16
1161.8751023523503,270.1360647562749,1.706547844388945e-06,0.9028164923503025,0.8941255696420289,0.0,9,10810,7817.394850702999,2441.0,1711.5781477271366,22,20,19,16
1513.9623687008389,388.3192454237184,5.890719317724225e-06,0.8931361249249807,0.8652831440835773,0.008041143417358398,7,13701,9470.942733736027,3296.0,2087.2259539907127,19,19,16,16
2178.4652067398865,595.7949328474854,2.4736294486248067e-06,0.8486794210840056,0.7939936354806274,0.0,5,17373,11245.584682623024,4454.0,2496.903379923997,18,19,15,16
