rmse_I,rmse_Inc,rmse_Beta,r2,r2_Inc,time_predict,fraq_people,actual_peak_I,predicted_peak_I,actual_peak_Inc,predicted_peak_inc,actual_peak_day,predicted_peak_day,actual_peak_day_Inc,predicted_peak_day_inc
5370.930041594544,1344.6051227110897,0.00010060519357425281,-21824.06713359234,-19776.868952615405,0.0,4,105,12324.339391493097,38.0,3877.981807200001,9,17,6,16
5163.524886550592,1307.2851452696261,0.00010259145030015856,-8842.840470369356,-8334.738333990044,0.0,4,171,14495.845958068408,55.0,4811.706327518027,10,16,8,14
5522.2247866094085,1410.9441809855643,9.892769916096594e-05,-7036.274921674238,-7035.887553027688,0.0,4,187,15393.139912628594,64.0,5229.888719165096,9,16,6,14
5328.757063619027,1340.6539021829146,8.338718070645903e-05,-6661.495884024239,-8309.988701445,0.0,4,186,15474.922097064862,56.0,5055.17847153569,11,17,5,15
6768.092798909172,1708.3690632446758,8.84809334956325e-05,-15632.330952689257,-13737.30807647992,0.0,4,162,16769.933070483115,57.0,5446.685927392292,7,16,7,14
5483.332001668794,1421.9052740139014,0.00011464283849015017,-4588.127396234902,-5617.743248249109,0.0,4,273,18258.48867819262,78.0,6424.579317564618,9,14,8,13
6236.859273822975,1580.5947160524013,9.739367183359057e-05,-4825.595331132917,-5805.550669914141,0.0,4,267,20141.606526469375,74.0,6591.974481403939,10,15,6,13
6826.12745224978,1759.490189515741,8.921239152398439e-05,-9083.961363684366,-11744.96319316849,0.0009975433349609375,4,212,21470.45663792426,64.0,7261.265306629815,10,15,4,14
7259.312836484195,1852.8354068295876,7.226519188845468e-05,-12258.214279339492,-15263.688665362884,0.0009989738464355469,4,221,22446.31487260604,62.0,7557.774057214294,11,16,5,14
6653.615730454869,1692.906365335844,8.782015227435107e-05,-4711.481087168335,-5646.537781599076,0.002001523971557617,4,316,23523.595004499086,90.0,7813.8473130474995,9,15,6,13
6595.489326904676,1726.0310113610817,0.00010392690611122076,-1966.3350832652498,-2737.784759103306,0.002000570297241211,4,482,24199.52342750511,130.0,8920.920662411034,12,14,8,12
6283.754360104705,1644.0530092794995,9.994085767215008e-05,-1875.1282809463062,-2648.885928945873,0.002000093460083008,4,456,25158.725253652643,127.0,9267.58667770753,14,14,9,12
7004.577719663151,1774.3380758332949,9.61834323656159e-05,-4644.524541377592,-5836.992452509308,0.0,4,319,27716.095934403154,94.0,8977.592417282944,14,14,4,13
6286.94860894417,1638.6431230900373,9.532660983815949e-05,-3361.335338842834,-4939.256018123984,0.0,4,396,29484.87545270734,103.0,11598.683314999995,13,13,6,12
6716.650766072253,1767.2408150023691,9.277788886587428e-05,-2116.6560976419682,-3254.708658938425,0.015622854232788086,4,454,30829.544567473116,104.0,12318.270476563455,19,13,5,12
6693.527745549612,1714.97098760059,9.033883197988179e-05,-1024.702725817565,-1429.3226077979252,0.0,4,701,31884.968253837626,182.0,12204.613214605131,18,13,10,12
6943.9186401707275,1759.6129125095886,8.14137451400959e-05,-3522.7441746078466,-4908.517932398083,0.0,4,392,32631.28676344268,96.0,10629.738127103737,12,14,5,13
7421.818427950168,1852.7893768998056,9.759307335659192e-05,-1679.2649532554217,-2136.224658934848,0.0,4,614,35276.30862302275,148.0,12647.833626073938,17,13,10,12
7322.897139241481,1934.1065780341658,0.00010019901469901206,-2649.736662962445,-3595.670606872909,0.0,4,534,34752.440174593605,141.0,13298.86277283986,16,13,5,11
7705.665803314211,1996.747820449548,6.447002699618437e-05,-240.59506140540964,-358.9160055060109,0.0,8,1594,36495.18416187052,330.0,12495.202214382745,44,17,41,15
7831.48775567727,2017.3315748911,5.913696421957476e-05,-92.57509287105357,-138.49465933877087,0.0,8,2421,37515.2420790121,520.0,12277.897144969473,40,17,40,15
7700.538147156984,1949.8954971366898,3.113374303289681e-05,-73.37468926611123,-108.17171633988129,0.0,13,2659,35046.49054684707,579.0,10920.87694312358,62,24,50,22
8387.5403609555,2170.5335163397353,6.798378609590426e-05,-37.97091119846704,-59.39720363120573,0.0,7,3792,40440.62817204808,817.0,15254.316727424848,45,15,41,14
8787.075076854699,2237.6353472764144,7.694425308104844e-05,-25.16214562955353,-38.759696429868164,0.0,6,4982,42295.18995170717,1042.0,14576.993900276495,43,14,39,13
9638.723728652027,2498.1758087217295,8.66607114922456e-05,-12.764902460694467,-20.029967502513582,0.0,6,7599,45114.25169558214,1648.0,18904.602696169968,39,14,33,12
9868.922531773405,2652.989886571207,8.359585567485226e-05,-9.341576368094131,-16.010477428647366,0.0,6,9234,44907.80438564047,1962.0,19298.9351023849,38,14,37,12
10422.459370737879,2762.026851429679,8.337878696032126e-05,-7.15520498789836,-11.470970053582285,0.0029973983764648438,6,11046,46867.95232844258,2436.0,19872.381256851135,35,14,29,12
12093.344870481767,3059.639318729411,9.918951990643136e-05,-6.082012541228747,-8.635856571414752,0.001999378204345703,5,13534,50389.890818543136,3085.0,20077.236835704345,30,12,27,11
12397.3584675624,3464.9140064519224,0.00015081534977917126,-2.5269531688038476,-4.342471233022582,0.002001047134399414,4,19896,51848.51595868256,4850.0,20117.346249480746,23,10,19,9
3047.9795084033167,762.6676727994748,0.00013592980409741736,-3914.702493159264,-3669.4070171146886,0.001001596450805664,4,154,8773.318233119327,53.0,2738.1000690008646,10,16,5,14
4325.3239059155285,1076.872481387645,0.00010766762751162995,-8837.387797607065,-9644.377575978626,0.0010006427764892578,4,131,10424.095038273908,40.0,3227.3687314178737,8,17,5,15
3742.4683460822607,944.670028484327,0.0001087726495037923,-4116.119637224981,-4499.9784590564195,0.01569080352783203,4,179,11977.63271645262,63.0,3874.8103793527443,10,16,9,15
5199.662714634903,1315.853357832716,0.00011468718699971178,-6191.937209853543,-5980.850927953735,0.0,4,199,12554.669154884723,65.0,4118.352581191333,8,15,5,14
4652.496860055692,1179.7991554266187,0.00011607353834040991,-6431.109754591509,-6412.453416701189,0.0,4,191,13694.99868029369,63.0,4488.518749773635,8,15,5,13
4406.55811175487,1109.6864345560116,9.889966591018346e-05,-6099.064248054454,-7468.558548054714,0.0,4,181,13898.813065302398,54.0,4428.955644237116,8,16,6,14
5557.031114295556,1420.6071651691293,0.0001080791240284267,-3153.5400235230286,-3723.3321487992257,0.0,4,268,15126.177634359541,77.0,5050.585349383081,11,15,6,13
5760.436697480517,1473.138156936164,0.00011086961601038075,-6987.004608012703,-6433.432794861951,0.01562666893005371,4,203,16222.797855055418,76.0,5427.613176849543,9,15,5,13
5578.64083552534,1422.9313967786784,0.00010281895182535718,-9846.111508821574,-11607.717316126142,0.0,4,182,16575.50046857949,60.0,5530.6696685972975,7,15,4,13
7329.819955995575,1856.7084445307416,0.00010492769642492171,-13985.583876338354,-13771.326097268238,0.0,4,173,18796.101008095888,65.0,6109.168515076799,11,15,4,13
7191.806398945197,1857.2700303040685,0.0001055440285726871,-5804.983435055441,-5900.2802160708,0.0,4,277,19153.53908336469,93.0,6644.188769780123,9,14,6,13
6499.504098178691,1676.2168468086907,9.574186489569086e-05,-7000.47793244018,-8221.910595666259,0.0,4,228,19515.304301900876,67.0,6615.199103375924,12,15,8,14
6365.991953112845,1640.9850999759349,9.695592770959597e-05,-6158.757808614434,-8130.616440295872,0.0,4,252,21530.81822925804,78.0,7507.421659565769,12,14,5,13
5986.990426580158,1512.5902200102855,0.00010420772137241466,-6102.964807877725,-7645.811566472474,0.01567244529724121,4,266,22636.066300055747,84.0,7523.808848201508,9,14,4,13
6921.380272013755,1813.582856481149,9.822348145537387e-05,-8931.227379776743,-12054.41839488255,0.0,4,240,22628.85178795858,82.0,8314.283522877173,7,14,6,13
7007.002806526333,1761.5509845025222,0.00012142886142586394,-3986.8880858269895,-4440.6566142773345,0.0,4,352,24223.679777405043,104.0,8903.927778170397,10,13,5,12
6453.441036298091,1631.1413717924142,9.91951912156001e-05,-4112.11116475416,-4763.964864814388,0.0,4,336,24105.665003599443,97.0,7900.971271757189,10,14,9,13
6283.510620157491,1606.254225106469,8.823955692053713e-05,-3213.4822249122976,-4201.76552284047,0.0,4,366,29461.764518022243,104.0,9981.219622199857,15,14,9,12
6446.58135256541,1635.3839943221224,9.101867533654347e-05,-3942.943778904307,-5612.894454822777,0.0,4,323,30240.380978004807,88.0,9873.62895613072,15,14,4,12
6696.885512984146,1718.9580243355008,0.00010707223008715226,-2863.2651020149488,-4203.707382671646,0.0,4,403,31645.317671407764,124.0,10811.986715902854,14,13,4,11
6790.209122653064,1718.7690708022683,3.6753188175715636e-05,-498.8022162506954,-744.2332864182672,0.0,14,998,30685.307476148228,218.0,9672.70731528921,40,25,23,23
6052.8676281725775,1368.2292374132153,1.2931856579456612e-05,-531.4053659683436,-628.3892957385532,0.0,34,883,21207.078230538787,194.0,5274.526684903263,52,52,44,50
7272.926214794337,1858.8740318001917,3.9966424898636833e-05,-377.854415331546,-525.442921971914,0.0,12,1370,33170.39750967705,288.0,10827.422674459565,47,22,51,21
8307.34100431744,2125.587092779791,7.42780448469816e-05,-25.832570020273625,-39.357614492665796,0.0,7,4549,40448.622532503985,972.0,13861.193922278151,44,15,38,14
8615.557545986185,2198.993222551982,6.870949806032762e-05,-23.38825346868361,-34.75154712175713,0.0,7,4971,41310.45946440887,1106.0,15172.309528578073,45,15,38,14
9750.975821896925,2534.1764937491944,7.569681016192312e-05,-9.561106915789207,-15.208579478325646,0.0,6,8900,44058.9376689855,1872.0,14718.525884417344,37,14,34,13
10986.200356616082,2860.851314133333,8.487744353309875e-05,-8.555368060848538,-13.155352635179911,0.015626192092895508,6,10364,46187.06768512828,2296.0,19318.040606465467,35,14,32,12
11380.028020369911,3275.777389394516,0.00010982260782507779,-3.4984992933386305,-6.717699842125869,0.0,5,16200,48039.717474722,3718.0,21698.46045435469,28,12,23,10
11570.890302680833,3081.994862912013,0.000143781734519225,-3.374987160939658,-5.403328981506092,0.0,4,17637,53478.816911931775,4181.0,23417.03509868079,25,11,22,9
