beta,gamma,delta,init_inf_frac,alpha,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0.11,0.3,0.2,0.0001,0.21000000000000002,0.0003811338683590293,0.00014574936358258128,7.075697794789448e-05,2.1725736587541178e-05,9.323589438281488e-06,1.102026999433292e-05,8.26235282147536e-06,5.414482984633651e-06,5.194006007513963e-06,5.516403234651079e-06,5.3783392104378436e-06,3.424568831178476e-06,1.076658008969389e-06,3.230287120459252e-06,1.7106493714891258e-06,5.840415155944356e-07,2.9559632821474224e-06,3.3673300094960723e-06,1.447800286769052e-06,8.819275194582588e-07,-0.0,9.511444432064309e-07,1.1281563274678774e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.3,0.2,0.0001,0.22000000000000003,0.00036834925413131714,0.00016815969138406217,2.340359424124472e-05,1.458479164284654e-05,1.1623461432463955e-05,8.747069841774646e-06,5.9942453844996635e-06,6.636467787757283e-06,4.7927978812367655e-06,2.615456651255954e-06,5.2321174734970555e-06,4.005551545560593e-06,2.275596443723771e-06,1.3966460983283469e-06,7.091318252605561e-07,1.418329020452802e-06,7.813549700586009e-07,8.537420512766403e-07,2.6096713554579765e-06,3.546967263901024e-06,-0.0,1.2464615792850964e-06,1.708192826299637e-06,-0.0,2.0965151179552777e-06,-0.0,4.392901246319525e-06,2.4278797354782e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,6.590263637917815e-06,7.688995538046584e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.3,0.2,0.0001,0.23000000000000004,0.0003566768136806786,0.00024320886586792767,4.797363362740725e-05,2.4049561034189537e-05,1.70985258591827e-05,1.2702520507446025e-05,9.28287499846192e-06,7.597931926284218e-06,6.694139301544055e-06,8.331378921866417e-06,8.020161658350844e-06,6.237678462639451e-06,4.821489255846245e-06,4.3062241275038105e-06,3.3143926430057036e-06,1.8360576632403536e-06,2.9074512895022053e-06,1.3336889423953835e-06,3.705185690705548e-06,2.0687464257207466e-06,-0.0,1.962616124728811e-06,6.951859745640832e-07,2.518521569072618e-06,9.270796113014512e-07,1.0349256172048626e-06,3.608414772315882e-06,1.3091096207062947e-06,2.7819817205454456e-06,3.179690793331247e-06,1.7807852827900206e-06,-0.0,5.936215529800393e-06,2.619151700855582e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.4842520613456145e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.3,0.2,0.0001,0.24000000000000005,0.0003334722714498639,0.00013307479093782604,4.446308594197035e-05,2.5223862394341268e-05,1.3583487088908441e-05,1.1293412171653472e-05,9.098161172005348e-06,5.806727131130174e-06,2.277274461448542e-06,2.0470047275011893e-06,3.385240461284411e-06,1.0583354423943092e-06,2.1899377316003665e-06,1.873873998192721e-06,2.7202720502828015e-06,4.556030717139947e-07,5.296610083860287e-07,3.2183299936150433e-06,-0.0,6.622727255489735e-07,2.230907966804807e-06,8.478527888655663e-07,1.8040186660073232e-06,-0.0,2.291785449415329e-06,2.6501018055569148e-06,-0.0,3.3924179660971276e-06,1.6963527968982817e-06,-0.0,-0.0,-0.0,3.2623554488964146e-06,-0.0,4.2412416405568365e-06,-0.0,5.301777036947897e-06,-0.0,-0.0,1.0604004273773171e-05,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.3,0.2,0.0001,0.25000000000000006,0.0003401360590942204,0.00015837962564546615,4.7142293624347076e-05,2.468894854246173e-05,1.4432930584007408e-05,1.020850868371781e-05,3.713907517521875e-06,3.1916079024085775e-06,4.905224614049075e-06,5.409938239608891e-06,4.2224928620271385e-06,2.558887217674055e-06,2.1576393010036554e-06,2.177434907935094e-06,1.6594026419625152e-06,2.0588342977134744e-06,2.464763156240224e-06,7.395492502837442e-07,1.730930307530798e-06,-0.0,-0.0,1.0705308568503824e-06,-0.0,-0.0,-0.0,1.937229853865574e-06,2.1412358819361543e-06,-0.0,6.780856438126648e-06,3.3907040233316366e-06,3.1300080536311725e-06,-0.0,-0.0,-0.0,-0.0,5.086470082460437e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.3,0.2,0.0001,0.26000000000000006,0.0004001538909506053,0.0001255504903383553,5.004907870898023e-05,2.810860678437166e-05,1.5078720025485381e-05,9.36954438657267e-06,9.75914463197114e-06,6.264665444177808e-06,4.143150363233872e-06,3.3184180665557506e-06,4.090255970368162e-06,3.7342415453167632e-06,4.142736088397214e-06,2.259587745356839e-06,3.4652355225262e-06,2.9224850095488364e-06,2.086995664285496e-06,1.5570042251056293e-06,2.509821797502809e-06,2.398159722361015e-06,1.0351988066759077e-06,1.1081873481089133e-06,1.3114581633999478e-06,2.459177721902961e-06,3.839169494312955e-06,1.093268906515732e-06,2.6239488306600833e-06,-0.0,-0.0,4.373592219053535e-06,-0.0,5.623632659990108e-06,3.0283483738458017e-06,-0.0,-0.0,6.561679583683144e-06,-0.0,-0.0,2.6247753339703195e-05,-0.0,-0.0,-0.0,-0.0,9.843682164500933e-06,7.87525550549617e-06,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.3,0.2,0.0001,0.2700000000000001,0.00029270100640133023,0.0001662399881752208,6.243942334549502e-05,2.2318556148093194e-05,1.4426435882342048e-05,1.8225515304948203e-05,1.0158934856008273e-05,9.057868737727404e-06,6.2751005316386e-06,5.685134510713397e-06,3.7939505546091823e-06,5.808364676340716e-06,4.299628017179202e-06,6.46897478873143e-06,4.235619144310476e-06,3.2396330880146706e-06,2.3522554783994565e-06,1.4359992519530351e-06,3.133683321721037e-06,2.3089012302079936e-06,3.104347570115351e-06,1.5335347143263789e-06,2.4757009668974206e-06,9.040332429322007e-07,1.3561528930949862e-06,2.4660134840814862e-06,2.3739887637930224e-06,1.8683405187402968e-06,1.381597144245461e-06,7.59936142458173e-07,1.8999126041308045e-06,1.1515496680658543e-06,-0.0,1.461637907596014e-06,-0.0,-0.0,2.000212134589674e-06,-0.0,3.167122713421122e-06,-0.0,4.750864718516823e-06,-0.0,3.8008361116226297e-06,5.4299721341521945e-06,-0.0,-0.0,-0.0,5.430178589449497e-06,-0.0,7.6025394264434e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.9007071387022734e-05,-0.0,1.900779352581594e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.900851566460915e-05,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.3,0.2,0.0001,0.2800000000000001,0.00035369774559512734,0.00014341544010676444,5.456252984004095e-05,2.173981920350343e-05,1.0226846825389657e-05,7.422333055728814e-06,5.707462605641922e-06,5.4753845688537695e-06,4.759119292430114e-06,2.074198164336849e-06,2.755148898359039e-06,2.9997793262737105e-06,1.5944458482408663e-06,4.87761781187146e-06,2.3619525109097594e-06,2.4327348455699394e-06,4.2944720917148516e-06,1.690818294264318e-06,1.1535266821738333e-06,4.5665436232411594e-07,1.0438195658935001e-06,2.3958264137036167e-06,1.7400806200384977e-06,6.644672794209328e-07,1.4056552117835963e-06,3.045809080504114e-06,1.661593273638573e-06,1.6247877283603884e-06,-0.0,2.611456920931232e-06,1.462522845940839e-06,-0.0,-0.0,4.062711923324969e-06,-0.0,-0.0,2.611934405649663e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.3,0.2,0.0001,0.2900000000000001,0.000351845461409539,9.632403089199215e-05,4.415512375999242e-05,1.8075639673043042e-05,1.2240187970746774e-05,8.87010719452519e-06,1.0009296602220275e-05,7.790086783643346e-06,6.889233191031963e-06,4.6489549276884645e-06,5.169672022020677e-06,5.635767138301162e-06,5.433075330074644e-06,4.386888576846104e-06,1.7942511476576328e-06,5.717973181162961e-06,3.169318233631202e-06,1.7436801726944395e-06,1.6435344605270075e-06,7.905128995844279e-07,1.7161121377284871e-06,2.1719290543842362e-06,1.552563617224223e-06,1.1539395927684382e-06,1.2570583294291282e-06,1.4666713923361385e-06,8.585997761656472e-07,8.586300168644811e-07,2.7080823201686144e-06,-0.0,1.100274630516651e-06,2.6081502255692612e-06,-0.0,1.2575895880218013e-06,1.5310324670281261e-06,-0.0,1.7607493418836384e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.760811392159667e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.11,0.3,0.2,0.0001,0.2,0.00034517259337008,0.0001980043452931568,8.355348109034821e-05,4.6090623072814196e-05,1.8956987332785502e-05,1.0860795555345248e-05,1.0632771591190249e-05,6.1006066971458495e-06,4.728680323751178e-06,4.308456482249312e-06,4.735200946015539e-06,4.02433579438366e-06,2.6679235816118307e-06,9.651112122810446e-07,2.025985395448515e-06,3.197912292307592e-06,3.1208726340992143e-06,2.805228177749086e-06,2.259083885292057e-06,4.19784964833525e-06,1.8627957842909382e-06,9.666440519140451e-07,3.0740854981559096e-06,-0.0,2.7698720259650145e-06,1.5072907899593702e-06,1.8303754814041895e-06,-0.0,-0.0,-0.0,-0.0,3.41687587024353e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,7.322252258745721e-06,6.407299224520102e-06,-0.0,-0.0,7.323003046622034e-06,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2.5631825337768532e-05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
