,beta,init_rec_frac
278,0.28,0.82
279,0.28,0.83
280,0.28,0.84
281,0.28,0.85
282,0.28,0.86
283,0.28,0.87
284,0.28,0.88
285,0.28,0.89
286,0.28,0.9
287,0.28,0.91
288,0.28,0.92
289,0.28,0.93
290,0.28,0.94
291,0.28,0.95
292,0.28,0.96
293,0.28,0.97
294,0.28,0.98
295,0.28,0.99
296,0.29,0.46
297,0.29,0.47
298,0.29,0.49
299,0.29,0.5
300,0.29,0.52
301,0.29,0.53
302,0.29,0.54
303,0.29,0.56
304,0.29,0.57
305,0.29,0.58
306,0.29,0.59
307,0.29,0.6
308,0.29,0.61
309,0.29,0.62
310,0.29,0.63
311,0.29,0.64
312,0.29,0.65
313,0.29,0.66
314,0.29,0.67
315,0.29,0.68
316,0.29,0.69
317,0.29,0.7
318,0.29,0.71
319,0.29,0.72
320,0.29,0.73
321,0.29,0.74
322,0.29,0.75
323,0.29,0.76
324,0.29,0.77
325,0.29,0.78
326,0.29,0.79
327,0.29,0.8
328,0.29,0.81
329,0.29,0.82
330,0.29,0.83
331,0.29,0.84
332,0.29,0.85
333,0.29,0.86
334,0.29,0.87
335,0.29,0.88
336,0.29,0.89
337,0.29,0.9
338,0.29,0.91
339,0.29,0.92
340,0.29,0.93
341,0.29,0.94
342,0.29,0.95
343,0.29,0.96
344,0.29,0.97
345,0.29,0.98
346,0.29,0.99
347,0.3,0.41
348,0.3,0.47
349,0.3,0.48
350,0.3,0.5
351,0.3,0.54
352,0.3,0.55
353,0.3,0.56
354,0.3,0.57
355,0.3,0.58
356,0.3,0.59
357,0.3,0.6
358,0.3,0.61
359,0.3,0.62
360,0.3,0.63
361,0.3,0.64
362,0.3,0.65
363,0.3,0.66
364,0.3,0.67
365,0.3,0.68
366,0.3,0.69
367,0.3,0.7
368,0.3,0.71
369,0.3,0.72
370,0.3,0.73
371,0.3,0.74
372,0.3,0.75
373,0.3,0.76
374,0.3,0.77
375,0.3,0.78
376,0.3,0.79
377,0.3,0.8
378,0.3,0.81
379,0.3,0.82
380,0.3,0.83
381,0.3,0.84
382,0.3,0.85
383,0.3,0.86
384,0.3,0.87
385,0.3,0.88
386,0.3,0.89
387,0.3,0.9
388,0.3,0.91
389,0.3,0.92
390,0.3,0.93
391,0.3,0.94
392,0.3,0.95
393,0.3,0.96
394,0.3,0.97
395,0.3,0.98
396,0.3,0.99
397,0.31,0.44
398,0.31,0.47
399,0.31,0.49
400,0.31,0.5
401,0.31,0.51
402,0.31,0.52
403,0.31,0.53
404,0.31,0.55
405,0.31,0.56
406,0.31,0.57
407,0.31,0.58
408,0.31,0.59
409,0.31,0.6
410,0.31,0.61
411,0.31,0.62
412,0.31,0.63
413,0.31,0.64
414,0.31,0.65
415,0.31,0.66
416,0.31,0.67
417,0.31,0.68
418,0.31,0.69
419,0.31,0.7
420,0.31,0.71
421,0.31,0.72
422,0.31,0.73
423,0.31,0.74
424,0.31,0.75
425,0.31,0.76
426,0.31,0.77
427,0.31,0.78
428,0.31,0.79
429,0.31,0.8
430,0.31,0.81
431,0.31,0.82
432,0.31,0.83
433,0.31,0.84
434,0.31,0.85
435,0.31,0.86
436,0.31,0.87
437,0.31,0.88
438,0.31,0.89
439,0.31,0.9
440,0.31,0.91
441,0.31,0.92
442,0.31,0.93
443,0.31,0.94
444,0.31,0.95
445,0.31,0.96
446,0.31,0.97
447,0.31,0.98
448,0.31,0.99
449,0.32,0.37
450,0.32,0.43
451,0.32,0.44
452,0.32,0.45
453,0.32,0.47
454,0.32,0.48
455,0.32,0.5
456,0.32,0.51
457,0.32,0.52
458,0.32,0.54
459,0.32,0.55
460,0.32,0.56
461,0.32,0.57
462,0.32,0.58
463,0.32,0.59
464,0.32,0.6
465,0.32,0.61
466,0.32,0.62
467,0.32,0.63
468,0.32,0.64
469,0.32,0.65
470,0.32,0.66
471,0.32,0.67
472,0.32,0.68
473,0.32,0.69
474,0.32,0.7
475,0.32,0.71
476,0.32,0.72
477,0.32,0.73
478,0.32,0.74
479,0.32,0.75
480,0.32,0.76
481,0.32,0.77
482,0.32,0.78
483,0.32,0.79
484,0.32,0.8
485,0.32,0.81
486,0.32,0.82
487,0.32,0.83
488,0.32,0.84
489,0.32,0.85
490,0.32,0.86
491,0.32,0.87
492,0.32,0.88
493,0.32,0.89
494,0.32,0.9
495,0.32,0.91
496,0.32,0.92
497,0.32,0.93
498,0.32,0.94
499,0.32,0.95
500,0.32,0.96
501,0.32,0.97
502,0.32,0.98
503,0.32,0.99
504,0.33,0.4
505,0.33,0.41
506,0.33,0.43
507,0.33,0.45
508,0.33,0.46
509,0.33,0.47
