,beta,init_rec_frac
1334,0.45,0.89
1335,0.45,0.9
1336,0.45,0.91
1337,0.45,0.92
1338,0.45,0.93
1339,0.45,0.94
1340,0.45,0.95
1341,0.45,0.96
1342,0.45,0.97
1343,0.45,0.98
1344,0.45,0.99
1345,0.46,0.24
1346,0.46,0.29
1347,0.46,0.3
1348,0.46,0.31
1349,0.46,0.32
1350,0.46,0.33
1351,0.46,0.34
1352,0.46,0.35
1353,0.46,0.36
1354,0.46,0.37
1355,0.46,0.38
1356,0.46,0.39
1357,0.46,0.4
1358,0.46,0.41
1359,0.46,0.42
1360,0.46,0.43
1361,0.46,0.44
1362,0.46,0.45
1363,0.46,0.46
1364,0.46,0.47
1365,0.46,0.48
1366,0.46,0.49
1367,0.46,0.5
1368,0.46,0.51
1369,0.46,0.52
1370,0.46,0.53
1371,0.46,0.54
1372,0.46,0.55
1373,0.46,0.56
1374,0.46,0.57
1375,0.46,0.58
1376,0.46,0.59
1377,0.46,0.6
1378,0.46,0.61
1379,0.46,0.62
1380,0.46,0.63
1381,0.46,0.64
1382,0.46,0.65
1383,0.46,0.66
1384,0.46,0.67
1385,0.46,0.68
1386,0.46,0.69
1387,0.46,0.7
1388,0.46,0.71
1389,0.46,0.72
1390,0.46,0.73
1391,0.46,0.74
1392,0.46,0.75
1393,0.46,0.76
1394,0.46,0.77
1395,0.46,0.78
1396,0.46,0.79
1397,0.46,0.8
1398,0.46,0.81
1399,0.46,0.82
1400,0.46,0.83
1401,0.46,0.84
1402,0.46,0.85
1403,0.46,0.86
1404,0.46,0.87
1405,0.46,0.88
1406,0.46,0.89
1407,0.46,0.9
1408,0.46,0.91
1409,0.46,0.92
1410,0.46,0.93
1411,0.46,0.94
1412,0.46,0.95
1413,0.46,0.96
1414,0.46,0.97
1415,0.46,0.98
1416,0.46,0.99
1417,0.47,0.25
1418,0.47,0.28
1419,0.47,0.29
1420,0.47,0.3
1421,0.47,0.31
1422,0.47,0.32
1423,0.47,0.33
1424,0.47,0.34
1425,0.47,0.35
1426,0.47,0.36
1427,0.47,0.37
1428,0.47,0.38
1429,0.47,0.39
1430,0.47,0.4
1431,0.47,0.41
1432,0.47,0.42
1433,0.47,0.43
1434,0.47,0.44
1435,0.47,0.45
1436,0.47,0.46
1437,0.47,0.47
1438,0.47,0.48
1439,0.47,0.49
1440,0.47,0.5
1441,0.47,0.51
1442,0.47,0.52
1443,0.47,0.53
1444,0.47,0.54
1445,0.47,0.55
1446,0.47,0.56
1447,0.47,0.57
1448,0.47,0.58
1449,0.47,0.59
1450,0.47,0.6
1451,0.47,0.61
1452,0.47,0.62
1453,0.47,0.63
1454,0.47,0.64
1455,0.47,0.65
1456,0.47,0.66
1457,0.47,0.67
1458,0.47,0.68
1459,0.47,0.69
1460,0.47,0.7
1461,0.47,0.71
1462,0.47,0.72
1463,0.47,0.73
1464,0.47,0.74
1465,0.47,0.75
1466,0.47,0.76
1467,0.47,0.77
1468,0.47,0.78
1469,0.47,0.79
1470,0.47,0.8
1471,0.47,0.81
1472,0.47,0.82
1473,0.47,0.83
1474,0.47,0.84
1475,0.47,0.85
1476,0.47,0.86
1477,0.47,0.87
1478,0.47,0.88
1479,0.47,0.89
1480,0.47,0.9
1481,0.47,0.91
1482,0.47,0.92
1483,0.47,0.93
1484,0.47,0.94
1485,0.47,0.95
1486,0.47,0.96
1487,0.47,0.97
1488,0.47,0.98
1489,0.47,0.99
1490,0.48,0.29
1491,0.48,0.3
1492,0.48,0.31
1493,0.48,0.32
1494,0.48,0.33
1495,0.48,0.34
1496,0.48,0.35
1497,0.48,0.36
1498,0.48,0.37
1499,0.48,0.38
1500,0.48,0.39
1501,0.48,0.4
1502,0.48,0.41
1503,0.48,0.42
1504,0.48,0.43
1505,0.48,0.44
1506,0.48,0.45
1507,0.48,0.46
1508,0.48,0.47
1509,0.48,0.48
1510,0.48,0.49
1511,0.48,0.5
1512,0.48,0.51
1513,0.48,0.52
1514,0.48,0.53
1515,0.48,0.54
1516,0.48,0.55
1517,0.48,0.56
1518,0.48,0.57
1519,0.48,0.58
1520,0.48,0.59
1521,0.48,0.6
1522,0.48,0.61
1523,0.48,0.62
1524,0.48,0.63
1525,0.48,0.64
1526,0.48,0.65
1527,0.48,0.66
1528,0.48,0.67
1529,0.48,0.68
1530,0.48,0.69
1531,0.48,0.7
1532,0.48,0.71
1533,0.48,0.72
1534,0.48,0.73
1535,0.48,0.74
1536,0.48,0.75
1537,0.48,0.76
1538,0.48,0.77
1539,0.48,0.78
1540,0.48,0.79
1541,0.48,0.8
1542,0.48,0.81
1543,0.48,0.82
1544,0.48,0.83
1545,0.48,0.84
1546,0.48,0.85
1547,0.48,0.86
1548,0.48,0.87
1549,0.48,0.88
1550,0.48,0.89
1551,0.48,0.9
1552,0.48,0.91
1553,0.48,0.92
1554,0.48,0.93
1555,0.48,0.94
1556,0.48,0.95
1557,0.48,0.96
1558,0.48,0.97
1559,0.48,0.98
1560,0.48,0.99
1561,0.49,0.22
1562,0.49,0.28
1563,0.49,0.3
1564,0.49,0.31
1565,0.49,0.32
1566,0.49,0.33
1567,0.49,0.34
1568,0.49,0.35
1569,0.49,0.36
1570,0.49,0.37
1571,0.49,0.38
1572,0.49,0.39
1573,0.49,0.4
1574,0.49,0.41
1575,0.49,0.42
1576,0.49,0.43
1577,0.49,0.44
1578,0.49,0.45
1579,0.49,0.46
1580,0.49,0.47
1581,0.49,0.48
1582,0.49,0.49
1583,0.49,0.5
1584,0.49,0.51
1585,0.49,0.52
1586,0.49,0.53
1587,0.49,0.54
1588,0.49,0.55
1589,0.49,0.56
1590,0.49,0.57
1591,0.49,0.58
1592,0.49,0.59
1593,0.49,0.6
1594,0.49,0.61
1595,0.49,0.62
1596,0.49,0.63
1597,0.49,0.64
1598,0.49,0.65
1599,0.49,0.66
1600,0.49,0.67
1601,0.49,0.68
1602,0.49,0.69
1603,0.49,0.7
1604,0.49,0.71
1605,0.49,0.72
1606,0.49,0.73
1607,0.49,0.74
1608,0.49,0.75
1609,0.49,0.76
1610,0.49,0.77
1611,0.49,0.78
1612,0.49,0.79
1613,0.49,0.8
1614,0.49,0.81
1615,0.49,0.82
1616,0.49,0.83
1617,0.49,0.84
1618,0.49,0.85
1619,0.49,0.86
1620,0.49,0.87
1621,0.49,0.88
1622,0.49,0.89
1623,0.49,0.9
1624,0.49,0.91
1625,0.49,0.92
1626,0.49,0.93
1627,0.49,0.94
1628,0.49,0.95
1629,0.49,0.96
1630,0.49,0.97
1631,0.49,0.98
1632,0.49,0.99
1633,0.5,0.23
1634,0.5,0.24
1635,0.5,0.28
1636,0.5,0.29
1637,0.5,0.3
1638,0.5,0.32
1639,0.5,0.33
1640,0.5,0.34
1641,0.5,0.35
1642,0.5,0.36
1643,0.5,0.37
1644,0.5,0.38
1645,0.5,0.39
1646,0.5,0.4
1647,0.5,0.41
1648,0.5,0.42
1649,0.5,0.43
1650,0.5,0.44
1651,0.5,0.45
1652,0.5,0.46
1653,0.5,0.47
1654,0.5,0.48
1655,0.5,0.49
1656,0.5,0.5
1657,0.5,0.51
1658,0.5,0.52
1659,0.5,0.53
1660,0.5,0.54
1661,0.5,0.55
1662,0.5,0.56
1663,0.5,0.57
1664,0.5,0.58
1665,0.5,0.59
1666,0.5,0.6
1667,0.5,0.61
1668,0.5,0.62
1669,0.5,0.63
1670,0.5,0.64
1671,0.5,0.65
1672,0.5,0.66
1673,0.5,0.67
1674,0.5,0.68
1675,0.5,0.69
1676,0.5,0.7
1677,0.5,0.71
1678,0.5,0.72
1679,0.5,0.73
1680,0.5,0.74
1681,0.5,0.75
1682,0.5,0.76
1683,0.5,0.77
1684,0.5,0.78
1685,0.5,0.79
1686,0.5,0.8
1687,0.5,0.81
1688,0.5,0.82
1689,0.5,0.83
1690,0.5,0.84
1691,0.5,0.85
1692,0.5,0.86
1693,0.5,0.87
1694,0.5,0.88
1695,0.5,0.89
1696,0.5,0.9
1697,0.5,0.91
1698,0.5,0.92
1699,0.5,0.93
1700,0.5,0.94
1701,0.5,0.95
1702,0.5,0.96
1703,0.5,0.97
1704,0.5,0.98
1705,0.5,0.99
1706,0.51,0.23
1707,0.51,0.24
1708,0.51,0.25
1709,0.51,0.26
1710,0.51,0.28
1711,0.51,0.29
1712,0.51,0.3
1713,0.51,0.31
1714,0.51,0.32
1715,0.51,0.33
1716,0.51,0.34
1717,0.51,0.35
1718,0.51,0.36
1719,0.51,0.37
1720,0.51,0.38
1721,0.51,0.39
1722,0.51,0.4
1723,0.51,0.41
1724,0.51,0.42
1725,0.51,0.43
1726,0.51,0.44
1727,0.51,0.45
1728,0.51,0.46
1729,0.51,0.47
1730,0.51,0.48
1731,0.51,0.49
1732,0.51,0.5
1733,0.51,0.51
1734,0.51,0.52
1735,0.51,0.53
1736,0.51,0.54
1737,0.51,0.55
1738,0.51,0.56
1739,0.51,0.57
1740,0.51,0.58
1741,0.51,0.59
1742,0.51,0.6
1743,0.51,0.61
1744,0.51,0.62
1745,0.51,0.63
1746,0.51,0.64
1747,0.51,0.65
1748,0.51,0.66
1749,0.51,0.67
1750,0.51,0.68
1751,0.51,0.69
1752,0.51,0.7
1753,0.51,0.71
1754,0.51,0.72
1755,0.51,0.73
1756,0.51,0.74
1757,0.51,0.75
1758,0.51,0.76
1759,0.51,0.77
1760,0.51,0.78
1761,0.51,0.79
1762,0.51,0.8
1763,0.51,0.81
1764,0.51,0.82
1765,0.51,0.83
1766,0.51,0.84
1767,0.51,0.85
1768,0.51,0.86
1769,0.51,0.87
1770,0.51,0.88
1771,0.51,0.89
1772,0.51,0.9
1773,0.51,0.91
1774,0.51,0.92
1775,0.51,0.93
1776,0.51,0.94
1777,0.51,0.95
1778,0.51,0.96
1779,0.51,0.97
1780,0.51,0.98
1781,0.51,0.99
1782,0.52,0.25
1783,0.52,0.28
1784,0.52,0.29
1785,0.52,0.3
1786,0.52,0.31
1787,0.52,0.32
1788,0.52,0.33
1789,0.52,0.34
1790,0.52,0.35
1791,0.52,0.36
1792,0.52,0.37
1793,0.52,0.38
1794,0.52,0.39
1795,0.52,0.4
1796,0.52,0.41
1797,0.52,0.42
1798,0.52,0.43
1799,0.52,0.44
1800,0.52,0.45
1801,0.52,0.46
1802,0.52,0.47
1803,0.52,0.48
1804,0.52,0.49
1805,0.52,0.5
1806,0.52,0.51
1807,0.52,0.52
1808,0.52,0.53
1809,0.52,0.54
1810,0.52,0.55
1811,0.52,0.56
1812,0.52,0.57
1813,0.52,0.58
1814,0.52,0.59
1815,0.52,0.6
1816,0.52,0.61
1817,0.52,0.62
1818,0.52,0.63
1819,0.52,0.64
1820,0.52,0.65
1821,0.52,0.66
1822,0.52,0.67
1823,0.52,0.68
1824,0.52,0.69
1825,0.52,0.7
1826,0.52,0.71
1827,0.52,0.72
1828,0.52,0.73
1829,0.52,0.74
1830,0.52,0.75
1831,0.52,0.76
1832,0.52,0.77
1833,0.52,0.78
1834,0.52,0.79
1835,0.52,0.8
1836,0.52,0.81
1837,0.52,0.82
1838,0.52,0.83
1839,0.52,0.84
1840,0.52,0.85
1841,0.52,0.86
1842,0.52,0.87
1843,0.52,0.88
1844,0.52,0.89
1845,0.52,0.9
1846,0.52,0.91
1847,0.52,0.92
1848,0.52,0.93
1849,0.52,0.94
1850,0.52,0.95
1851,0.52,0.96
1852,0.52,0.97
1853,0.52,0.98
1854,0.52,0.99
1855,0.53,0.22
1856,0.53,0.23
1857,0.53,0.24
1858,0.53,0.26
1859,0.53,0.28
1860,0.53,0.29
1861,0.53,0.3
1862,0.53,0.31
1863,0.53,0.32
1864,0.53,0.33
1865,0.53,0.34
1866,0.53,0.35
1867,0.53,0.36
1868,0.53,0.37
1869,0.53,0.38
1870,0.53,0.39
1871,0.53,0.4
1872,0.53,0.41
1873,0.53,0.42
1874,0.53,0.43
1875,0.53,0.44
1876,0.53,0.45
1877,0.53,0.46
1878,0.53,0.47
1879,0.53,0.48
1880,0.53,0.49
1881,0.53,0.5
1882,0.53,0.51
1883,0.53,0.52
1884,0.53,0.53
1885,0.53,0.54
1886,0.53,0.55
1887,0.53,0.56
1888,0.53,0.57
1889,0.53,0.58
1890,0.53,0.59
1891,0.53,0.6
1892,0.53,0.61
1893,0.53,0.62
1894,0.53,0.63
1895,0.53,0.64
1896,0.53,0.65
1897,0.53,0.66
1898,0.53,0.67
1899,0.53,0.68
1900,0.53,0.69
1901,0.53,0.7
1902,0.53,0.71
1903,0.53,0.72
1904,0.53,0.73
1905,0.53,0.74
1906,0.53,0.75
1907,0.53,0.76
1908,0.53,0.77
1909,0.53,0.78
1910,0.53,0.79
1911,0.53,0.8
1912,0.53,0.81
1913,0.53,0.82
1914,0.53,0.83
1915,0.53,0.84
1916,0.53,0.85
1917,0.53,0.86
1918,0.53,0.87
1919,0.53,0.88
1920,0.53,0.89
1921,0.53,0.9
1922,0.53,0.91
1923,0.53,0.92
1924,0.53,0.93
1925,0.53,0.94
1926,0.53,0.95
1927,0.53,0.96
1928,0.53,0.97
1929,0.53,0.98
1930,0.53,0.99
1931,0.54,0.24
1932,0.54,0.25
1933,0.54,0.26
1934,0.54,0.27
1935,0.54,0.28
1936,0.54,0.29
1937,0.54,0.3
1938,0.54,0.31
1939,0.54,0.32
1940,0.54,0.33
1941,0.54,0.34
1942,0.54,0.35
1943,0.54,0.36
1944,0.54,0.37
1945,0.54,0.38
1946,0.54,0.39
1947,0.54,0.4
1948,0.54,0.41
1949,0.54,0.42
1950,0.54,0.43
1951,0.54,0.44
1952,0.54,0.45
1953,0.54,0.46
1954,0.54,0.47
1955,0.54,0.48
1956,0.54,0.49
1957,0.54,0.5
1958,0.54,0.51
1959,0.54,0.52
1960,0.54,0.53
1961,0.54,0.54
1962,0.54,0.55
1963,0.54,0.56
1964,0.54,0.57
1965,0.54,0.58
1966,0.54,0.59
1967,0.54,0.6
1968,0.54,0.61
1969,0.54,0.62
1970,0.54,0.63
1971,0.54,0.64
1972,0.54,0.65
1973,0.54,0.66
1974,0.54,0.67
1975,0.54,0.68
1976,0.54,0.69
1977,0.54,0.7
1978,0.54,0.71
1979,0.54,0.72
1980,0.54,0.73
1981,0.54,0.74
1982,0.54,0.75
1983,0.54,0.76
1984,0.54,0.77
1985,0.54,0.78
1986,0.54,0.79
1987,0.54,0.8
1988,0.54,0.81
1989,0.54,0.82
1990,0.54,0.83
1991,0.54,0.84
1992,0.54,0.85
1993,0.54,0.86
1994,0.54,0.87
1995,0.54,0.88
1996,0.54,0.89
1997,0.54,0.9
1998,0.54,0.91
1999,0.54,0.92
2000,0.54,0.93
2001,0.54,0.94
2002,0.54,0.95
2003,0.54,0.96
2004,0.54,0.97
2005,0.54,0.98
2006,0.54,0.99
2007,0.55,0.2
2008,0.55,0.24
2009,0.55,0.25
2010,0.55,0.26
2011,0.55,0.27
2012,0.55,0.28
2013,0.55,0.29
2014,0.55,0.3
2015,0.55,0.31
2016,0.55,0.32
2017,0.55,0.33
2018,0.55,0.34
2019,0.55,0.35
2020,0.55,0.36
2021,0.55,0.37
2022,0.55,0.38
2023,0.55,0.39
2024,0.55,0.4
2025,0.55,0.41
2026,0.55,0.42
2027,0.55,0.43
2028,0.55,0.44
2029,0.55,0.45
2030,0.55,0.46
2031,0.55,0.47
2032,0.55,0.48
2033,0.55,0.49
2034,0.55,0.5
2035,0.55,0.51
2036,0.55,0.52
2037,0.55,0.53
2038,0.55,0.54
2039,0.55,0.55
2040,0.55,0.56
2041,0.55,0.57
2042,0.55,0.58
2043,0.55,0.59
2044,0.55,0.6
2045,0.55,0.61
2046,0.55,0.62
2047,0.55,0.63
2048,0.55,0.64
2049,0.55,0.65
2050,0.55,0.66
2051,0.55,0.67
2052,0.55,0.68
2053,0.55,0.69
2054,0.55,0.7
2055,0.55,0.71
2056,0.55,0.72
2057,0.55,0.73
2058,0.55,0.74
2059,0.55,0.75
2060,0.55,0.76
2061,0.55,0.77
2062,0.55,0.78
2063,0.55,0.79
2064,0.55,0.8
2065,0.55,0.81
2066,0.55,0.82
2067,0.55,0.83
2068,0.55,0.84
2069,0.55,0.85
2070,0.55,0.86
2071,0.55,0.87
2072,0.55,0.88
2073,0.55,0.89
2074,0.55,0.9
2075,0.55,0.91
2076,0.55,0.92
2077,0.55,0.93
2078,0.55,0.94
2079,0.55,0.95
2080,0.55,0.96
2081,0.55,0.97
2082,0.55,0.98
2083,0.55,0.99
2084,0.56,0.24
2085,0.56,0.25
2086,0.56,0.26
2087,0.56,0.27
2088,0.56,0.28
2089,0.56,0.29
2090,0.56,0.3
2091,0.56,0.31
2092,0.56,0.32
2093,0.56,0.33
2094,0.56,0.34
2095,0.56,0.35
2096,0.56,0.36
2097,0.56,0.37
2098,0.56,0.38
2099,0.56,0.39
2100,0.56,0.4
2101,0.56,0.41
2102,0.56,0.42
2103,0.56,0.43
2104,0.56,0.44
2105,0.56,0.45
2106,0.56,0.46
2107,0.56,0.47
2108,0.56,0.48
2109,0.56,0.49
2110,0.56,0.5
2111,0.56,0.51
2112,0.56,0.52
2113,0.56,0.53
2114,0.56,0.54
2115,0.56,0.55
2116,0.56,0.56
2117,0.56,0.57
2118,0.56,0.58
2119,0.56,0.59
2120,0.56,0.6
2121,0.56,0.61
2122,0.56,0.62
2123,0.56,0.63
2124,0.56,0.64
2125,0.56,0.65
2126,0.56,0.66
2127,0.56,0.67
2128,0.56,0.68
2129,0.56,0.69
2130,0.56,0.7
2131,0.56,0.71
2132,0.56,0.72
2133,0.56,0.73
2134,0.56,0.74
2135,0.56,0.75
2136,0.56,0.76
2137,0.56,0.77
2138,0.56,0.78
2139,0.56,0.79
2140,0.56,0.8
2141,0.56,0.81
2142,0.56,0.82
2143,0.56,0.83
2144,0.56,0.84
2145,0.56,0.85
2146,0.56,0.86
2147,0.56,0.87
2148,0.56,0.88
2149,0.56,0.89
2150,0.56,0.9
2151,0.56,0.91
2152,0.56,0.92
2153,0.56,0.93
2154,0.56,0.94
2155,0.56,0.95
2156,0.56,0.96
2157,0.56,0.97
2158,0.56,0.98
2159,0.56,0.99
2160,0.57,0.24
2161,0.57,0.25
2162,0.57,0.26
2163,0.57,0.27
2164,0.57,0.28
2165,0.57,0.29
2166,0.57,0.3
2167,0.57,0.31
2168,0.57,0.32
2169,0.57,0.33
2170,0.57,0.34
2171,0.57,0.35
2172,0.57,0.36
2173,0.57,0.37
2174,0.57,0.38
2175,0.57,0.39
2176,0.57,0.4
2177,0.57,0.41
2178,0.57,0.42
2179,0.57,0.43
2180,0.57,0.44
2181,0.57,0.45
2182,0.57,0.46
2183,0.57,0.47
2184,0.57,0.48
2185,0.57,0.49
2186,0.57,0.5
2187,0.57,0.51
2188,0.57,0.52
2189,0.57,0.53
2190,0.57,0.54
2191,0.57,0.55
2192,0.57,0.56
2193,0.57,0.57
2194,0.57,0.58
2195,0.57,0.59
2196,0.57,0.6
2197,0.57,0.61
2198,0.57,0.62
2199,0.57,0.63
2200,0.57,0.64
2201,0.57,0.65
2202,0.57,0.66
2203,0.57,0.67
2204,0.57,0.68
2205,0.57,0.69
2206,0.57,0.7
2207,0.57,0.71
2208,0.57,0.72
2209,0.57,0.73
2210,0.57,0.74
2211,0.57,0.75
2212,0.57,0.76
2213,0.57,0.77
2214,0.57,0.78
2215,0.57,0.79
2216,0.57,0.8
2217,0.57,0.81
2218,0.57,0.82
2219,0.57,0.83
2220,0.57,0.84
2221,0.57,0.85
2222,0.57,0.86
2223,0.57,0.87
2224,0.57,0.88
2225,0.57,0.89
2226,0.57,0.9
2227,0.57,0.91
2228,0.57,0.92
2229,0.57,0.93
2230,0.57,0.94
2231,0.57,0.95
2232,0.57,0.96
2233,0.57,0.97
2234,0.57,0.98
2235,0.57,0.99
2236,0.58,0.2
2237,0.58,0.21
2238,0.58,0.22
2239,0.58,0.24
2240,0.58,0.25
2241,0.58,0.26
2242,0.58,0.27
2243,0.58,0.28
2244,0.58,0.29
2245,0.58,0.3
2246,0.58,0.31
2247,0.58,0.32
2248,0.58,0.33
2249,0.58,0.34
2250,0.58,0.35
2251,0.58,0.36
2252,0.58,0.37
2253,0.58,0.38
2254,0.58,0.39
2255,0.58,0.4
2256,0.58,0.41
2257,0.58,0.42
2258,0.58,0.43
2259,0.58,0.44
2260,0.58,0.45
2261,0.58,0.46
2262,0.58,0.47
2263,0.58,0.48
2264,0.58,0.49
2265,0.58,0.5
2266,0.58,0.51
2267,0.58,0.52
2268,0.58,0.53
2269,0.58,0.54
2270,0.58,0.55
2271,0.58,0.56
2272,0.58,0.57
2273,0.58,0.58
2274,0.58,0.59
2275,0.58,0.6
2276,0.58,0.61
2277,0.58,0.62
2278,0.58,0.63
2279,0.58,0.64
2280,0.58,0.65
2281,0.58,0.66
2282,0.58,0.67
2283,0.58,0.68
2284,0.58,0.69
2285,0.58,0.7
2286,0.58,0.71
2287,0.58,0.72
2288,0.58,0.73
2289,0.58,0.74
2290,0.58,0.75
2291,0.58,0.76
2292,0.58,0.77
2293,0.58,0.78
2294,0.58,0.79
2295,0.58,0.8
2296,0.58,0.81
2297,0.58,0.82
2298,0.58,0.83
2299,0.58,0.84
2300,0.58,0.85
2301,0.58,0.86
2302,0.58,0.87
2303,0.58,0.88
2304,0.58,0.89
2305,0.58,0.9
2306,0.58,0.91
2307,0.58,0.92
2308,0.58,0.93
2309,0.58,0.94
2310,0.58,0.95
2311,0.58,0.96
2312,0.58,0.97
2313,0.58,0.98
2314,0.58,0.99
2315,0.59,0.2
2316,0.59,0.21
2317,0.59,0.22
2318,0.59,0.23
2319,0.59,0.24
2320,0.59,0.25
2321,0.59,0.26
2322,0.59,0.27
2323,0.59,0.28
2324,0.59,0.29
2325,0.59,0.3
2326,0.59,0.31
2327,0.59,0.32
2328,0.59,0.33
2329,0.59,0.34
2330,0.59,0.35
2331,0.59,0.36
2332,0.59,0.37
2333,0.59,0.38
2334,0.59,0.39
2335,0.59,0.4
2336,0.59,0.41
2337,0.59,0.42
2338,0.59,0.43
2339,0.59,0.44
2340,0.59,0.45
2341,0.59,0.46
2342,0.59,0.47
2343,0.59,0.48
2344,0.59,0.49
2345,0.59,0.5
2346,0.59,0.51
2347,0.59,0.52
2348,0.59,0.53
2349,0.59,0.54
2350,0.59,0.55
2351,0.59,0.56
2352,0.59,0.57
2353,0.59,0.58
2354,0.59,0.59
2355,0.59,0.6
2356,0.59,0.61
2357,0.59,0.62
2358,0.59,0.63
2359,0.59,0.64
2360,0.59,0.65
2361,0.59,0.66
2362,0.59,0.67
2363,0.59,0.68
2364,0.59,0.69
2365,0.59,0.7
2366,0.59,0.71
2367,0.59,0.72
2368,0.59,0.73
2369,0.59,0.74
2370,0.59,0.75
2371,0.59,0.76
2372,0.59,0.77
2373,0.59,0.78
2374,0.59,0.79
2375,0.59,0.8
2376,0.59,0.81
2377,0.59,0.82
2378,0.59,0.83
2379,0.59,0.84
2380,0.59,0.85
2381,0.59,0.86
2382,0.59,0.87
2383,0.59,0.88
2384,0.59,0.89
2385,0.59,0.9
2386,0.59,0.91
2387,0.59,0.92
2388,0.59,0.93
2389,0.59,0.94
2390,0.59,0.95
2391,0.59,0.96
2392,0.59,0.97
2393,0.59,0.98
2394,0.59,0.99
2395,0.6,0.2
2396,0.6,0.21
2397,0.6,0.24
2398,0.6,0.25
2399,0.6,0.26
2400,0.6,0.27
2401,0.6,0.28
2402,0.6,0.29
2403,0.6,0.3
2404,0.6,0.31
2405,0.6,0.32
2406,0.6,0.33
2407,0.6,0.34
2408,0.6,0.35
2409,0.6,0.36
2410,0.6,0.37
2411,0.6,0.38
2412,0.6,0.39
2413,0.6,0.4
2414,0.6,0.41
2415,0.6,0.42
2416,0.6,0.43
2417,0.6,0.44
2418,0.6,0.45
2419,0.6,0.46
2420,0.6,0.47
2421,0.6,0.48
2422,0.6,0.49
2423,0.6,0.5
2424,0.6,0.51
2425,0.6,0.52
2426,0.6,0.53
2427,0.6,0.54
2428,0.6,0.55
2429,0.6,0.56
2430,0.6,0.57
2431,0.6,0.58
2432,0.6,0.59
2433,0.6,0.6
2434,0.6,0.61
2435,0.6,0.62
2436,0.6,0.63
2437,0.6,0.64
2438,0.6,0.65
2439,0.6,0.66
2440,0.6,0.67
2441,0.6,0.68
2442,0.6,0.69
2443,0.6,0.7
2444,0.6,0.71
2445,0.6,0.72
2446,0.6,0.73
2447,0.6,0.74
2448,0.6,0.75
2449,0.6,0.76
2450,0.6,0.77
2451,0.6,0.78
2452,0.6,0.79
2453,0.6,0.8
2454,0.6,0.81
2455,0.6,0.82
2456,0.6,0.83
2457,0.6,0.84
2458,0.6,0.85
2459,0.6,0.86
2460,0.6,0.87
2461,0.6,0.88
2462,0.6,0.89
2463,0.6,0.9
2464,0.6,0.91
2465,0.6,0.92
2466,0.6,0.93
2467,0.6,0.94
2468,0.6,0.95
2469,0.6,0.96
2470,0.6,0.97
2471,0.6,0.98
2472,0.6,0.99
2473,0.61,0.21
2474,0.61,0.24
2475,0.61,0.25
2476,0.61,0.26
2477,0.61,0.27
2478,0.61,0.28
2479,0.61,0.29
2480,0.61,0.3
2481,0.61,0.31
2482,0.61,0.32
2483,0.61,0.33
2484,0.61,0.34
2485,0.61,0.35
2486,0.61,0.36
2487,0.61,0.37
2488,0.61,0.38
2489,0.61,0.39
2490,0.61,0.4
2491,0.61,0.41
2492,0.61,0.42
2493,0.61,0.43
2494,0.61,0.44
2495,0.61,0.45
2496,0.61,0.46
2497,0.61,0.47
2498,0.61,0.48
2499,0.61,0.49
2500,0.61,0.5
2501,0.61,0.51
2502,0.61,0.52
2503,0.61,0.53
2504,0.61,0.54
2505,0.61,0.55
2506,0.61,0.56
2507,0.61,0.57
2508,0.61,0.58
2509,0.61,0.59
2510,0.61,0.6
2511,0.61,0.61
2512,0.61,0.62
2513,0.61,0.63
2514,0.61,0.64
2515,0.61,0.65
2516,0.61,0.66
2517,0.61,0.67
2518,0.61,0.68
2519,0.61,0.69
2520,0.61,0.7
2521,0.61,0.71
2522,0.61,0.72
2523,0.61,0.73
2524,0.61,0.74
2525,0.61,0.75
2526,0.61,0.76
2527,0.61,0.77
2528,0.61,0.78
2529,0.61,0.79
2530,0.61,0.8
2531,0.61,0.81
2532,0.61,0.82
2533,0.61,0.83
2534,0.61,0.84
2535,0.61,0.85
2536,0.61,0.86
2537,0.61,0.87
2538,0.61,0.88
2539,0.61,0.89
2540,0.61,0.9
2541,0.61,0.91
2542,0.61,0.92
2543,0.61,0.93
2544,0.61,0.94
2545,0.61,0.95
2546,0.61,0.96
2547,0.61,0.97
2548,0.61,0.98
2549,0.61,0.99
2550,0.62,0.2
2551,0.62,0.22
2552,0.62,0.23
2553,0.62,0.24
2554,0.62,0.25
2555,0.62,0.26
2556,0.62,0.27
2557,0.62,0.28
2558,0.62,0.29
2559,0.62,0.3
2560,0.62,0.31
2561,0.62,0.32
2562,0.62,0.33
2563,0.62,0.34
2564,0.62,0.35
2565,0.62,0.36
2566,0.62,0.37
2567,0.62,0.38
2568,0.62,0.39
2569,0.62,0.4
2570,0.62,0.41
2571,0.62,0.42
2572,0.62,0.43
2573,0.62,0.44
2574,0.62,0.45
2575,0.62,0.46
2576,0.62,0.47
2577,0.62,0.48
2578,0.62,0.49
2579,0.62,0.5
2580,0.62,0.51
2581,0.62,0.52
2582,0.62,0.53
2583,0.62,0.54
2584,0.62,0.55
2585,0.62,0.56
2586,0.62,0.57
2587,0.62,0.58
2588,0.62,0.59
2589,0.62,0.6
2590,0.62,0.61
2591,0.62,0.62
2592,0.62,0.63
2593,0.62,0.64
2594,0.62,0.65
2595,0.62,0.66
2596,0.62,0.67
2597,0.62,0.68
2598,0.62,0.69
2599,0.62,0.7
2600,0.62,0.71
2601,0.62,0.72
2602,0.62,0.73
2603,0.62,0.74
2604,0.62,0.75
