,0
206,1.093104445646107e-05
207,1.0988672205160952e-05
208,1.082599118160902e-05
209,1.094377719516583e-05
210,1.0541906201093365e-05
211,1.0569901707741713e-05
212,1.0439319878309927e-05
213,1.0942872827366631e-05
214,1.0617292123923276e-05
215,1.059733453806077e-05
216,1.061924348509412e-05
217,1.0689324613254563e-05
218,1.0574592996982677e-05
219,1.0654214503663272e-05
220,1.0542290515165466e-05
221,1.0476778458654993e-05
222,1.0314714786183487e-05
223,1.0374211964015656e-05
224,1.0525530395441353e-05
225,1.0681171149335098e-05
226,1.0647369312800268e-05
227,1.0482718980338116e-05
228,1.0291351273133713e-05
229,1.0307302431917496e-05
230,1.0204860821533524e-05
231,1.0112463644062158e-05
232,1.019106454400377e-05
233,1.0315295619098782e-05
234,1.071979762703617e-05
235,1.0216321149457005e-05
236,1.0491802068585385e-05
237,1.0321858485026424e-05
238,1.0057731378110353e-05
239,1.0019780478060903e-05
240,1.0222035395086101e-05
241,1.0311319353933977e-05
242,1.0061779325055844e-05
243,1.0211010532657363e-05
244,1.0021629661976828e-05
245,1.0232089406577634e-05
246,1.0043722591699155e-05
247,1.0143450625918285e-05
248,1.007378205876205e-05
249,1.005484989889793e-05
250,1.010544573283774e-05
251,1.048374341941752e-05
252,1.0391833204407347e-05
253,1.0389802347848454e-05
254,1.0189660144265207e-05
255,9.694312185912123e-06
256,9.814058404308758e-06
257,9.96505292845594e-06
258,1.0358567160127377e-05
259,1.0044657456935672e-05
260,9.9633640669137e-06
261,9.647923163939924e-06
262,1.0141809839693782e-05
263,9.960105049654342e-06
264,1.007278595128398e-05
265,9.846240833613387e-06
266,9.356877929069729e-06
267,1.0089926469660852e-05
268,1.0030512467329657e-05
269,9.976029027394175e-06
270,9.866157765400418e-06
271,9.849005787633946e-06
272,9.855190297565152e-06
273,9.58531908899284e-06
274,9.687913552809785e-06
275,1.0052154811649072e-05
276,9.634409989852502e-06
277,9.713264433910947e-06
278,9.826209776505646e-06
279,9.631090211210694e-06
280,9.735025245516053e-06
281,9.752181348999535e-06
282,9.908813346084804e-06
283,9.65511914417024e-06
284,9.297188344300916e-06
285,9.805930847551564e-06
286,9.945998616974981e-06
287,9.545264253863555e-06
288,9.22266747211296e-06
289,9.776018658123524e-06
290,9.70053036223207e-06
291,8.933399938903749e-06
292,9.54487132851452e-06
293,8.898148612191123e-06
294,8.89733953071477e-06
295,9.358067631197044e-06
296,9.251965803458255e-06
297,9.559004038679206e-06
298,9.334722340017528e-06
299,8.785588803929316e-06
300,9.281694182149912e-06
301,9.244549460445968e-06
302,9.141227219692356e-06
303,8.396443039028518e-06
304,9.323487730290148e-06
305,9.164285953500474e-06
306,8.713668684165994e-06
307,9.463634011615083e-06
308,9.438948878652874e-06
309,9.42787849114423e-06
310,8.956238175252379e-06
311,8.460081345086835e-06
312,8.76232921741059e-06
313,9.154926998612113e-06
314,8.618585700069512e-06
315,8.850758510004308e-06
316,8.687342541916429e-06
317,8.710317726353541e-06
318,8.996714445350116e-06
319,8.864147291274299e-06
320,9.143397669865491e-06
321,8.444568612603788e-06
322,8.819634581787195e-06
323,8.360085607276618e-06
324,8.411801219176606e-06
325,8.437180969094606e-06
326,8.528564855377916e-06
327,8.39942693671186e-06
328,8.487868409705388e-06
329,9.149565439509403e-06
330,8.371681033551537e-06
331,8.529198883148791e-06
332,8.232026757066997e-06
333,8.484155513265304e-06
334,8.628775014966973e-06
335,8.16630280519087e-06
336,8.587997925724415e-06
337,8.026900425896847e-06
338,8.598534078002973e-06
339,8.67806462959706e-06
340,8.488351108618444e-06
341,8.625941440640045e-06
342,8.605821286080334e-06
343,8.283265594628027e-06
344,8.307202781489346e-06
345,8.282018837685473e-06
346,8.131535721836427e-06
347,8.203943723882623e-06
348,7.703406780784049e-06
349,0.0
