rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
2307.133743499046,3.415177113583969e-06,0.11049842834472656,20,8265,4047.737650910829,86,70
1473.5452165484162,3.0948039802639253e-06,0.09737563133239746,17,8396,6032.910599556574,81,73
2139.597137333132,6.2726421195250925e-06,0.10146522521972656,19,8180,4530.6436429579635,82,70
1795.7702274079088,4.4326434840804075e-06,0.10178399085998535,19,8285,5353.186673888873,83,74
1982.7462747576565,4.1700944509556845e-06,0.10251331329345703,19,8221,4927.817487389792,85,71
1892.507265049822,4.036938255428219e-06,0.10037875175476074,18,8149,5159.317385820453,84,71
2016.8919041586864,3.0249647353723408e-06,0.1005253791809082,20,8336,4862.0597553674515,84,73
2289.826430524538,2.6658761416913253e-06,0.09249567985534668,19,8162,4039.813815553982,84,69
2003.917538474462,3.0162387322697596e-06,0.10077762603759766,18,8149,4839.793683182608,82,69
1451.8695514503552,4.045825459257595e-06,0.10054969787597656,17,8183,6112.105409656356,79,73
1919.18671993478,3.499986549301449e-06,0.11062169075012207,15,8352,5257.433514915301,82,69
1734.0818006728343,3.909069771351292e-06,0.10057282447814941,16,8283,5559.428275652628,82,70
1692.7530603284083,3.390798864939182e-06,0.1055908203125,15,8261,5581.67022376837,79,69
1855.2757739562508,4.563069362133722e-06,0.09700536727905273,15,8437,5396.023594413935,78,68
1943.1972713707607,3.0374394827022346e-06,0.1014552116394043,15,8120,5038.4517388027725,80,68
1838.5386674052731,3.0506717222564947e-06,0.10059189796447754,15,8186,5367.703218410674,81,69
1837.8656860413055,2.67342021321275e-06,0.10180425643920898,17,8300,5353.5230304677025,85,70
2008.4197701195615,3.451962006620419e-06,0.10103583335876465,17,8348,4857.588975370586,81,69
1061.2862639255457,3.2308823481902137e-06,0.10838127136230469,14,8391,6838.258448807412,78,73
2261.6245499466518,4.1204476154387275e-06,0.10053586959838867,17,8074,4233.21865802178,82,68
848.6612628543892,3.7542501726685613e-06,0.10053896903991699,13,8395,7377.55266739405,78,72
1144.6067931186676,3.3240129740094564e-06,0.10868573188781738,14,8300,6787.645401571633,78,71
2131.608760414469,1.4957628063202983e-05,0.10069513320922852,14,8259,4445.816413290879,78,64
628.2801404450124,3.536468164714275e-06,0.10190129280090332,12,8174,8032.19436222292,76,73
1017.2782387749651,5.753806414700274e-06,0.10107898712158203,13,8208,7125.517372437146,81,71
1248.456333225842,4.509889072359051e-06,0.10054993629455566,13,8263,6667.122555943266,81,70
1954.7160307644842,6.423689934933487e-06,0.10083460807800293,14,8234,4971.5328219076055,79,66
389.59207139904726,0.0019729302676413365,0.09850478172302246,12,8371,9319.767294304704,76,74
1781.4728709191795,8.427060720975232e-06,0.10090231895446777,14,8154,5499.418255975821,80,67
662.110927868705,3.481268261487268e-06,0.10131692886352539,13,8259,7658.134989617076,76,73
420.44800369613984,0.0005921107913376107,0.09081339836120605,12,8347,9327.954703360172,76,73
1288.5706259962233,0.0007429926701386334,0.09093046188354492,9,8346,11127.78888949515,75,65
548.156001989119,3.507545519239855e-05,0.10088109970092773,11,8021,9098.303917415094,79,72
378.8275940748833,0.0014044032235468618,0.09057927131652832,12,8332,9276.916475611883,77,73
905.9609385047155,0.001468915354308253,0.09062576293945312,11,8334,10495.73715922224,76,70
342.5271783849883,6.776146883280976e-06,0.1005086898803711,12,8255,8890.978197340435,77,72
489.2647234692932,0.0014881849869006313,0.09097409248352051,12,8518,9765.79946526745,73,72
572.1495703148233,0.0008429340459126639,0.09159660339355469,11,8485,9981.470742342728,74,71
869.9975454173543,0.005908035739277687,0.09181976318359375,11,8315,10187.961547381958,79,70
648.0782626388041,0.0006350383617417558,0.09169411659240723,12,8335,9776.392255869614,77,72
1183.3858932427488,0.004371143810478145,0.09132933616638184,9,8216,11004.297472239496,74,65
1561.839845341862,0.0009859236057749327,0.09898614883422852,8,8285,11602.167299464607,76,61
1507.3636464348751,0.003980357740444417,0.09139800071716309,8,8265,11664.043205661756,70,61
1258.2584148353392,0.0007192837573362218,0.09145689010620117,9,8382,11145.630485780604,73,64
1112.5448778929974,0.002782129535244366,0.09145379066467285,9,8549,10919.565971530988,75,65
422.5866536071055,2.342491031203657e-05,0.10094904899597168,11,8137,9115.03866073749,77,71
1113.0516070868564,0.0013125649062176936,0.09290790557861328,10,8382,10859.98515793138,75,66
1251.2344171758893,0.0005932222013022905,0.0904996395111084,9,8121,10907.674952048656,76,66
845.4177831070547,0.0022356915661170254,0.09049391746520996,10,8230,10357.079594740037,73,68
1137.4899067635756,0.0019634407430029082,0.09049344062805176,9,8439,10932.021078375494,72,65
1345.341437372052,0.0017008778701807531,0.0905008316040039,7,8200,11089.314354051827,73,64
1578.2024316071406,0.0045908883188041085,0.1005258560180664,7,8226,11426.718197379518,72,61
1590.1808923955596,0.0076408063259641645,0.09082794189453125,7,8208,11521.797202941565,76,61
1863.813622028544,0.0014096364331374837,0.10163569450378418,7,8330,12109.33090740018,73,56
1500.1911168721474,0.0006461733465049965,0.09086275100708008,7,8158,11284.283084547329,70,62
