rmse_I,rmse_Beta,time_predict,roll_var_npeople,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
589.9115211570787,7.437166561380623e-07,0.09855246543884277,25,8194,9109.573751567856,141,150
1569.551181420872,1.2336593785377632e-06,0.10049819946289062,13,8297,10334.306430069264,147,125
1076.753721521225,1.0828188853766186e-06,0.10059189796447754,19,8302,9953.013785847626,136,130
1303.1803628206212,1.1589601619844853e-06,0.10048556327819824,16,8129,10032.183334034284,153,129
1661.7060762498136,1.2058324632319046e-06,0.10049223899841309,11,8431,10469.195249032196,139,123
1188.7037723210374,1.1276211880433052e-06,0.09243535995483398,18,8203,10025.591290610493,146,129
1597.3393060689991,1.1805000665465783e-06,0.09246659278869629,14,8329,10377.571500322567,143,124
1656.4310926981273,1.1541365017048077e-06,0.10246944427490234,10,8337,10302.643341817107,141,125
1471.9562537605755,1.1192519411123603e-06,0.10048508644104004,12,8161,10064.617285440792,145,128
536.9458250208858,8.826078581598304e-07,0.10041022300720215,21,8530,9350.535574522512,142,142
1512.314455808067,1.2954939617314917e-06,0.10049891471862793,17,8446,10759.129966733131,134,120
1361.9339875182443,1.2605195344075255e-06,0.09844779968261719,19,8347,10370.395875597393,141,124
2162.188307343456,1.4339925107870843e-06,0.10063767433166504,10,8431,11801.961058246867,131,111
2159.902458200307,1.4249619384673207e-06,0.10049128532409668,11,8596,11692.06398600269,140,111
1960.8754588245656,1.4389572403677277e-06,0.1005852222442627,13,8557,11279.997186131704,138,115
2080.9572990649312,1.458447595108047e-06,0.10048103332519531,10,8524,11489.243049439423,138,113
1206.6129217685084,1.3008386319762582e-06,0.09244799613952637,18,8683,10606.7103134046,136,121
1963.209801848175,1.4884231169457235e-06,0.10044503211975098,14,8448,11567.711808469907,140,112
1975.6959729381929,1.4250534759458197e-06,0.10052084922790527,10,8293,11086.11148974666,137,116
1167.8347357172868,1.2418152544922572e-06,0.09045720100402832,21,8581,10341.860955134156,138,124
2470.0670501529044,1.6693528893590892e-06,0.10052108764648438,11,8722,12753.951544399817,130,104
2589.0915874383663,1.6654016994529014e-06,0.10071158409118652,10,8700,12761.16703803964,127,104
2467.599031468454,1.555595131499019e-06,0.10054492950439453,10,8616,12421.949036608701,137,106
2713.39677820225,1.648811223009922e-06,0.10060501098632812,10,8625,12817.946060781578,134,104
2560.700476466852,1.5947627004860277e-06,0.10067057609558105,11,8538,12372.432569203884,129,107
2305.913627773941,1.605671254716143e-06,0.10051989555358887,10,8639,12223.984335218347,130,108
2647.32551855953,1.6105412885062622e-06,0.1005861759185791,12,8537,12565.582648007041,130,105
2479.779088461137,1.674327021780177e-06,0.10246729850769043,10,8725,12866.34792641489,127,104
2643.8652991821605,1.6757077702094868e-06,0.10053610801696777,10,8623,13004.934216306525,128,103
2814.3842745234724,1.6924226186417172e-06,0.10050034523010254,10,8591,12908.591979265533,131,103
2733.8848286196594,1.706538139716069e-06,0.10044145584106445,13,8635,13072.08955815026,127,102
3180.926494463541,1.8382482013064574e-06,0.10261321067810059,10,8571,13698.243782845362,132,99
3081.1867262497385,1.828081223709562e-06,0.10043168067932129,10,8654,13501.490215104699,133,100
3026.3348400430086,1.972697247741602e-06,0.10846638679504395,12,8642,13964.09112664307,123,97
3050.2811011848426,1.803299407652532e-06,0.10046529769897461,10,8558,13533.057541059023,126,100
3072.455258693995,1.8446766934847688e-06,0.10055208206176758,10,8565,13625.259661522501,124,99
3113.5843478956135,1.9206920077886622e-06,0.10068106651306152,12,8554,13970.80238004759,128,97
3100.848616448276,1.8188230961014307e-06,0.10047459602355957,10,8491,13509.271509856919,126,100
3019.545469327783,1.9039654854409016e-06,0.1025075912475586,10,8626,13490.962823401653,126,100
3034.421619310211,1.8434517866607772e-06,0.1006171703338623,10,8649,13825.019641763705,123,98
3041.253405691301,2.0137345887194054e-06,0.10051369667053223,14,8847,14521.264399871165,113,94
3587.213225157683,2.0388128584840003e-06,0.10855817794799805,10,8732,14766.246675757779,126,93
3482.153863717517,1.940944969535723e-06,0.10071372985839844,10,8508,14333.722260624323,128,95
3493.7477905121464,1.9503254320005384e-06,0.10047149658203125,10,8567,14603.058990610598,121,94
3423.2026334821776,1.9972730245539633e-06,0.10051751136779785,10,8523,14675.452298222554,121,94
3413.747960634042,1.9677722212565684e-06,0.10047435760498047,10,8414,14522.176373884009,115,94
3486.309846243135,2.0471142940775694e-06,0.10048842430114746,10,8622,14653.67012510286,121,94
3501.146135207752,2.02563415839546e-06,0.1004176139831543,10,8687,14659.82607405426,125,94
