rmse_I,rmse_Beta,time_predict,roll_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
4491.110768624544,1.5298502357461866e-06,0.0,19,8725,16405.63337175402,127,93
4603.08188947579,1.4949983937554738e-06,0.015632152557373047,14,8623,16227.748243278287,128,90
4810.559505388582,1.5109761128491888e-06,0.0,14,8591,16271.449724233578,131,91
4609.837191961698,1.5056054529137236e-06,0.015636682510375977,20,8635,16294.88131696563,127,92
4664.175904182373,1.5185328100013984e-06,0.0,14,8571,16116.956531127747,132,90
4705.045648854518,1.5477162203674122e-06,0.0,14,8654,16122.770301059052,133,90
4370.059653247031,1.6033378443958052e-06,0.0,15,8642,16028.671524525793,123,88
4625.891370273474,1.5212753590057355e-06,0.0,17,8558,16225.535145720205,126,91
4621.191476434835,1.54648189787119e-06,0.0,14,8565,16095.431621289976,124,89
4450.734680923613,1.5516688637609119e-06,0.015624284744262695,15,8554,16051.752063918377,128,89
4702.074409114582,1.5398726830748694e-06,0.0,14,8491,16140.815055638941,126,90
4633.604591041155,1.637038431052773e-06,0.0,14,8626,16143.599578786927,126,90
4464.979999998994,1.499524951495691e-06,0.0,16,8649,16129.385459675172,123,90
4055.948853234167,1.5172402336373103e-06,0.0,15,8847,15880.66450058849,113,86
4429.807022196468,1.506719646102199e-06,0.0,14,8732,15929.133157607454,126,87
4554.831115664427,1.4968844307435089e-06,0.015626907348632812,16,8508,16007.002549134802,128,89
4427.455009226748,1.4565493910297026e-06,0.0,14,8567,15931.144761424373,121,87
4297.138028435847,1.505501794668462e-06,0.0,15,8523,15943.660494358452,121,88
4405.045941029479,1.476650943813644e-06,0.0,14,8414,15937.271212043814,115,87
4397.955492712625,1.548819320587372e-06,0.0,14,8622,15907.589046002915,121,87
4406.072231756064,1.5189962848414451e-06,0.0,14,8687,15917.997875872594,125,87
4323.481895206675,1.591766888131399e-06,0.015623807907104492,14,8702,15983.280377912222,123,88
4250.873600746011,1.528049391604193e-06,0.0,14,8709,15951.212857759308,125,87
4183.665460909237,1.5418411020461032e-06,0.00651240348815918,14,8494,15754.386186063146,118,85
4118.083311469888,1.4164257100025934e-06,0.0,14,8722,15746.180623052249,115,84
4277.232646224078,1.5177556034944596e-06,0.0,14,8756,15807.638990159276,115,85
4061.542289900804,1.507251247355154e-06,0.0,14,8778,15761.147922129749,115,84
4277.400958620804,1.51189300508513e-06,0.0,14,8723,15754.415091808063,118,85
4156.616589180721,1.5026704972560194e-06,0.0,14,8803,15745.362168629721,117,84
4190.394578055964,1.5496522393129895e-06,0.015636205673217773,15,8550,15767.55794251576,118,85
4185.633449992426,1.5252182953281365e-06,0.0,14,8554,15802.598538886255,113,86
3983.563744844036,1.524077528265763e-06,0.0,14,8841,15778.442650498522,113,85
4095.9425966889826,1.5376964695455963e-06,0.0,14,8866,15788.40720575625,120,85
3463.620374023192,2.762656081895867e-06,0.0,14,11945,16506.569165568286,117,93
3579.02830833385,2.204700685635723e-06,0.0,14,11651,16442.225810947544,120,93
3449.5715640653702,2.5662928970310665e-06,0.015625953674316406,14,11503,16489.40517541781,117,93
3351.9817823731046,2.46323660621169e-06,0.015623807907104492,14,11771,16526.388926313157,115,93
3446.6037760837407,2.3430828545095593e-06,0.0,14,11438,16480.825415384374,112,93
3523.0680649625715,2.301479611283092e-06,0.0,14,11516,16566.284212963343,117,94
3462.3295873625693,2.504833018252756e-06,0.0,14,11558,16515.643113244507,118,93
3485.9655432294967,2.6261043651893332e-06,0.0,14,11637,16560.899500808526,120,94
3618.0701228168823,2.5688316400631275e-06,0.015624046325683594,14,11753,16591.683101773026,117,94
3593.1055895544714,2.5128836184489992e-06,0.0,14,11647,16561.996861006333,119,94
3464.801251451998,2.834790267569394e-06,0.0,14,11629,16253.970159834049,113,91
3313.7771134243703,2.6517071254254882e-06,0.0,14,11394,16304.668970479786,115,91
3291.391349276219,2.7828010571172427e-06,0.0,14,11870,16228.56770926384,111,90
3275.3082786631303,2.484727516925753e-06,0.0,14,11451,16205.76972310403,116,90
3219.463168968295,2.5498602529917733e-06,0.01573491096496582,14,11706,16231.33936287343,115,90
3339.220764767309,2.4306061993938888e-06,0.015637636184692383,14,11552,16207.590253380833,114,90
3405.520945661553,2.7438758614538963e-06,0.005510091781616211,14,11655,16237.390151236663,110,90
3187.750802395667,2.2356155394873e-06,0.0,14,11683,16290.777718651163,113,91
3170.521419917934,3.002520596593524e-06,0.0,14,11762,16245.22069136119,113,90
3233.1086101041788,3.0052333502962024e-06,0.015624523162841797,14,11774,16174.323633270853,109,90
2921.753097660407,3.072087954168402e-06,0.0,14,11737,15964.2061986787,111,87
2966.695737934799,2.6630496902633114e-06,0.0,14,11910,16000.58440222256,109,87
3034.503420178617,2.635229988799673e-06,0.0,14,11671,15991.526663879997,108,87
3000.974030692494,3.0146540799136878e-06,0.0,14,11891,15993.363671440378,110,87
2945.5443553426085,2.5240923033251694e-06,0.01562356948852539,14,11772,15988.8878264989,107,87
3138.5149875955417,2.6217857702512586e-06,0.0,14,11359,16048.816891189012,116,88
3058.038490837244,2.7812123632308442e-06,0.0,14,11765,16003.410334794222,110,88
2994.77855893909,3.0191055051422863e-06,0.0,14,11954,15982.273295141089,104,87
3074.6496568700263,2.763846926747479e-06,0.015624523162841797,14,11604,16002.381540442966,108,87
3023.50109858215,2.742986220510784e-06,0.0,14,11844,15994.58796700361,106,87
2738.8407953068695,2.4967357573738797e-06,0.0,14,12014,15819.453060410839,102,84
2673.5197847738227,2.4561273828233724e-06,0.0,14,11910,15799.60664681303,100,84
2675.6448863900714,3.0136326766516697e-06,0.0,14,11969,15791.22063714722,104,84
2838.0436848479067,3.005931263168502e-06,0.0,14,11668,15836.597781337883,104,85
2574.5279458514065,2.5364239708548035e-06,0.015621185302734375,14,11801,15775.211759536507,99,84
2715.6389454383616,2.980207315759929e-06,0.0,14,11784,15849.367261674292,106,86
2808.2103987503147,2.70599829361135e-06,0.0,14,11998,15818.991900128687,105,85
2770.8408754798593,2.6912906690073195e-06,0.0,14,11750,15844.187942461233,102,85
2903.871285967014,2.8023311158632517e-06,0.0,14,12011,15833.729776151178,104,85
2858.616142988903,2.797171046029329e-06,0.0156252384185791,14,11833,15881.706931725437,109,86
2603.473877461298,3.170542576267653e-06,0.0,14,12083,15683.879899322137,99,82
2557.9129536411924,2.7795869522939697e-06,0.0,14,12116,15667.791907680266,101,82
2729.039970091084,2.2255172147766658e-06,0.0,14,11831,15692.19031874815,102,83
2678.112454796172,3.074479529898742e-06,0.0,14,11921,15712.958900782442,103,83
2571.225432715787,2.857946122219177e-06,0.0,14,12130,15685.410407131474,99,83
2572.1575984802416,3.0561601192758307e-06,0.01562666893005371,14,11857,15672.395533213097,102,82
2474.516796853079,3.0393302527272975e-06,0.0,14,12165,15668.343608440948,100,82
2503.1612744838785,2.6504745559408423e-06,0.015638113021850586,14,12029,15726.583970752203,100,83
2530.5936299475393,3.624592510461971e-06,0.0,14,12136,15706.141375586338,103,83
2622.436281500977,2.6522525210521574e-06,0.0,14,11752,15683.337812585716,97,83
2529.173184064089,2.596459035884347e-06,0.0,14,11842,15607.515134760675,96,81
2507.5586273993777,2.33602758001011e-06,0.0,14,12015,15599.91115085212,98,81
2488.518605283104,2.8302120845183404e-06,0.0,14,12054,15586.857228192857,96,81
2400.4810413175783,3.825507172784674e-06,0.015624761581420898,14,12041,15576.651961052059,95,80
2441.7853584876234,2.6669800912682968e-06,0.0,14,11970,15594.910008849962,99,81
2330.1037236274533,3.0920755665415858e-06,0.0,14,11929,15570.31551226771,93,81
2414.4941475447176,2.1474157418256443e-06,0.0,14,11992,15562.325000222285,96,80
2450.681275420612,2.661972007636652e-06,0.0,14,12024,15586.739390255174,95,80
2372.770932513346,3.0979951200332498e-06,0.0,14,11978,15565.097342693829,95,80
2431.892170870505,3.2883012680924675e-06,0.0,14,11841,15571.70544743982,92,80
1767.966714646937,4.680064504297218e-06,0.015623331069946289,14,14035,16231.226348480393,99,90
1834.5837504980132,4.385886804491378e-06,0.0,14,14151,16361.986840613152,105,92
1736.5767611115004,6.327730326050631e-06,0.0065119266510009766,14,14144,16276.52148161568,101,91
1843.2062265811016,5.208199606426225e-06,0.015638113021850586,14,14139,16219.346804990135,102,90
1800.3204989779058,5.013040622406726e-06,0.0,14,14178,16220.195479603297,100,90
1894.8640670199609,5.731785052852746e-06,0.0,14,14273,16232.865782863864,101,90
1630.687656112003,5.171630989157176e-06,0.01563739776611328,14,14395,16216.407673947875,103,90
1909.071224285875,5.855366893315983e-06,0.005011081695556641,14,14294,16215.193297689837,103,90
1960.7126423045252,5.10787470523987e-06,0.01563882827758789,14,14155,16219.767443795785,100,90
1694.0807027439755,7.989267245136916e-06,0.0,14,14601,16283.006719208328,104,91
1510.1374542772721,5.695961128447782e-06,0.0,14,14742,16016.257164673805,99,87
1687.4596060571364,5.252283404927018e-06,0.015623331069946289,14,14023,15959.970682894385,94,86
1565.5427655445328,6.541029062741741e-06,0.01562643051147461,14,14237,16002.943253069774,101,87
1453.864160322758,4.864800757086253e-06,0.015639543533325195,14,14607,16002.659146495786,96,87
1598.9339233895028,5.008711184239531e-06,0.00640106201171875,14,14173,15988.75767138143,97,87
1679.0739127607378,5.552942392326502e-06,0.0,14,14073,16003.174620539074,98,87
1607.7021653967922,5.900426080062605e-06,0.015625,14,14251,15936.606437482907,98,86
1498.7795238900878,4.825403482661949e-06,0.0,14,14135,16053.877957046045,98,88
1578.9226873985513,4.0510959939342725e-06,0.015636920928955078,14,14284,15999.863199311556,95,87
1573.085451606447,5.9826499754356695e-06,0.0,14,14301,15975.448837650463,100,87
1299.5070342583515,6.142535185877247e-06,0.0,14,14635,15818.69979481334,97,84
1384.8785678493853,5.74925622732152e-06,0.015624523162841797,14,14252,15811.365550363827,92,84
1322.1494054193263,4.181633950624387e-06,0.0,14,14208,15794.650129267202,92,84
1350.3431743310086,5.789178577717463e-06,0.015639543533325195,14,14454,15787.47610529111,92,84
1419.4258763879257,7.5665342321485924e-06,0.0,14,14309,15829.557253744404,94,85
1454.117551748968,5.634759871272296e-06,0.0,14,14490,15784.450228135196,96,83
1423.34707687624,4.386543019691823e-06,0.015625,14,14601,15803.19484802571,94,84
1534.1854846958722,6.5853376338308876e-06,0.006512880325317383,14,14242,15739.756680955132,93,83
1439.0671393270484,4.862259616692449e-06,0.0,14,14528,15793.511636672229,95,84
1345.5500082876429,6.3602649681024926e-06,0.015624761581420898,14,14387,15827.951829771755,94,85
1330.190645850074,6.3974748319824075e-06,0.003998994827270508,14,14376,15648.656220196306,90,81
1362.4497158621784,5.808330161186076e-06,0.003999471664428711,14,14234,15687.044442846409,92,82
1236.3724673670545,9.429561688830639e-06,0.004999637603759766,14,14560,15635.540804065638,87,81
1360.42551254486,5.630387191026174e-06,0.005001544952392578,14,14459,15625.004046975972,90,80
1375.012437283672,7.860108266313723e-06,0.00400090217590332,14,14220,15677.0778053751,90,82
1283.5936522362229,8.079771746871787e-06,0.004998922348022461,14,14595,15635.600885221658,94,81
1325.4266432868023,6.151482314144038e-06,0.003997087478637695,14,14373,15662.657135575671,93,81
1122.1359699232544,7.479254355982921e-06,0.0,14,15095,15691.10677442541,91,81
1305.8601875116733,7.1239484431417825e-06,0.003999471664428711,14,14647,15649.87701325547,91,81
1233.9729252272186,5.956875686978249e-06,0.005001544952392578,14,14555,15644.592204196242,89,81
1322.3516780797722,3.857279969722908e-06,0.015629291534423828,14,14372,15573.970846041913,89,79
1027.4360839422222,4.119011218289345e-06,0.0,14,14717,15575.85004645687,86,79
1050.9946412654824,8.615923658899511e-06,0.0,14,14491,15569.997587964208,84,79
1084.9017669983796,8.87859214453213e-06,0.0,14,14690,15544.094908616516,87,78
1103.9824741394614,5.756935561744713e-06,0.0,14,14648,15546.926593924018,88,78
1157.178670615232,6.925134138873276e-06,0.015625476837158203,14,14455,15579.776062845775,85,79
1245.3158234419145,9.02132650310755e-06,0.0,14,14588,15570.340735502163,89,79
1072.9851453109327,7.458017723375087e-06,0.0,14,14342,15560.536339877006,91,79
1125.7027853885647,6.867845792077762e-06,0.0,14,14681,15558.954164806953,87,79
1253.4681378260702,1.1426436331749629e-05,0.0,14,14534,15550.223064591513,89,78
1203.0990003650072,5.309117323859507e-06,0.0,14,14543,15508.328970175853,85,77
1097.7950546662685,6.49017352955858e-06,0.016760587692260742,14,14562,15489.502877457222,85,76
1163.7338448398882,7.91598917478113e-06,0.0,14,14515,15489.716085224785,88,77
1110.444315183163,8.029347346264282e-06,0.0,14,14714,15502.788134489705,85,76
1257.9562974622036,5.789285458590143e-06,0.0,14,14525,15518.574176160808,88,77
1145.4464823157625,6.755522270477318e-06,0.015625715255737305,14,14373,15507.744218335576,86,77
1021.1675634961705,7.418269185850643e-06,0.0,14,14683,15494.838977602856,84,77
1093.245450129387,5.818592937793869e-06,0.0,14,14497,15523.628590649068,86,77
