rmse_I,rmse_Beta,time_predict,roll_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
5284.544207892162,2.423647100466801e-06,0.0030012130737304688,14,8700,1229.8907316867628,127,23
5322.6116266637855,2.335229480731779e-06,0.005001068115234375,18,8616,1365.3748774503883,137,25
5285.904411696162,2.345053898067427e-06,0.0039997100830078125,14,8625,1236.1282906592264,134,22
5260.327671125613,2.3497144964726416e-06,0.0034034252166748047,14,8538,1157.5671815668045,129,22
5302.083270789828,2.412498068952875e-06,0.003999471664428711,14,8639,1151.590393129262,130,22
5270.546308134268,2.352760271464545e-06,0.0029997825622558594,14,8537,1202.5306340496156,130,22
5340.925445944789,2.394712893459567e-06,0.00500178337097168,19,8725,1459.039186595635,127,27
5240.22844559173,2.363931027164966e-06,0.002997159957885742,14,8623,1292.1968229118945,128,22
5248.119349187485,2.366916677903819e-06,0.0029997825622558594,14,8591,1199.5830051204907,131,21
5339.731641656726,2.3909356082508482e-06,0.003997802734375,20,8635,1606.6708578550413,127,27
5254.772749185136,2.431692915677286e-06,0.0029990673065185547,14,8571,1344.6678694671848,132,22
5301.586272897591,2.4593929118284117e-06,0.0030007362365722656,14,8654,1346.144076593396,133,22
5300.90195873598,2.5474841349473174e-06,0.003998994827270508,15,8642,1492.6403375878285,123,22
5271.101217407878,2.4097170870436135e-06,0.003000020980834961,17,8558,1438.3704508188923,126,24
5273.785745843539,2.4578161846278444e-06,0.0030012130737304688,14,8565,1380.3287198859678,124,22
5301.414357713542,2.4817196491166397e-06,0.0030007362365722656,15,8554,1467.989799338631,128,22
5231.012456304906,2.4039295999164857e-06,0.003998517990112305,14,8491,1339.459569015392,126,22
5280.489203410817,2.5461797826304098e-06,0.0029973983764648438,14,8626,1328.2536113133142,126,22
5325.511662554213,2.4434524201014633e-06,0.0029997825622558594,16,8649,1494.8982378307246,123,24
5389.2505659694625,2.5791869809614087e-06,0.003001689910888672,15,8847,1675.4447676315692,113,23
