rmse_I,rmse_Beta,time_predict,roll_var,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
4557.703748094694,2.9768225039079876e-06,9.65139126777649,32,8194,16459.271970976195,141,115
5062.26396655607,3.3389297661975345e-06,10.25446081161499,22,8297,17198.8241841902,147,107
4836.195088597137,3.270303319788685e-06,10.057623624801636,25,8302,16994.225336789386,136,107
5185.458396248748,3.4139573116790694e-06,10.114132642745972,19,8129,17345.52376437595,153,105
5614.255826798412,3.5588267701591643e-06,10.438892602920532,14,8431,17814.090520328802,139,99
4971.515362023265,3.310843156349137e-06,10.064111948013306,22,8203,17128.728315056436,146,106
5434.834717592932,3.4809920918201545e-06,10.40409803390503,18,8329,17563.987012862934,143,101
5493.89155395728,3.4708945519213854e-06,10.358182430267334,16,8337,17607.510305905096,141,102
5284.769126884728,3.3775951029923773e-06,10.029898405075073,21,8161,17259.410469432554,145,106
4970.45750135534,3.2841732674378025e-06,10.035930395126343,23,8530,17188.14216673066,142,108
4815.764642283367,3.3770742593655055e-06,9.901340961456299,24,8446,17170.286760132734,134,103
4623.31908247794,3.218854610244261e-06,9.996431827545166,25,8347,16792.23480068834,141,107
5318.569533316659,3.6225119695579873e-06,10.398924350738525,14,8431,17988.12552618541,131,94
5349.000600174437,3.609158477315845e-06,10.379648923873901,14,8596,17902.193136145004,140,95
5384.321520711782,3.6393783764705354e-06,10.22671389579773,16,8557,17817.080778356463,138,96
5205.366037355669,3.5849742599747286e-06,10.223617553710938,17,8524,17701.39605347196,138,98
5090.24396836765,3.56627821805486e-06,10.236250162124634,18,8683,17688.68709111674,136,98
5262.084043265982,3.658630779537333e-06,10.469980478286743,15,8448,17922.733652227682,140,94
5432.025821902906,3.6256555797999872e-06,10.475036382675171,14,8293,17817.61389069419,137,97
4986.340514974497,3.4772512622644926e-06,10.075617790222168,23,8581,17357.185639861815,138,102
5181.198238841383,3.725373633526787e-06,10.398889303207397,15,8722,18076.222144343927,130,91
5360.244010785578,3.7290464641823397e-06,10.314497470855713,14,8700,18149.140858175408,127,90
5173.849164666536,3.62048536521991e-06,10.026790380477905,18,8616,17818.36899555539,137,94
5364.48222470271,3.7014499659025044e-06,10.318295240402222,14,8625,18063.49310140682,134,91
5410.629712962794,3.686706036795192e-06,10.509761095046997,14,8538,17999.854521644287,129,92
5222.963804927307,3.6727731891400855e-06,10.396728038787842,14,8639,17963.238469595737,130,93
5464.712102551278,3.717948558453926e-06,11.556234121322632,14,8537,18097.37384551619,130,91
4918.765185087709,3.6582878895154015e-06,10.032334566116333,19,8725,17844.212604178236,127,94
5246.838557932737,3.727160960122666e-06,10.427028894424438,14,8623,18141.557232478022,128,90
5290.429615809486,3.684893288638384e-06,10.408629655838013,14,8591,17954.59671845627,131,92
5066.154695330736,3.672417195418158e-06,10.205075740814209,20,8635,17809.773217476933,127,92
5399.311848978212,3.764973697495381e-06,10.306450128555298,14,8571,18175.07928417918,132,88
5395.1452943681825,3.7631903237047365e-06,10.428015947341919,14,8654,18125.188198138367,133,89
