,median_beta
230,5.425935973955507e-06
231,5.2678562290609715e-06
232,5.501261377085625e-06
233,5.038446928310561e-06
234,5.381358972519194e-06
235,4.938067756165366e-06
236,5.117401724564381e-06
237,4.955223872552824e-06
238,4.9202347116244794e-06
239,4.972676759987857e-06
240,5.217624749445093e-06
241,4.872866902513425e-06
242,4.74255109566361e-06
243,4.865592862759142e-06
244,4.6353021521707895e-06
245,4.7303837544740824e-06
246,4.72647867885468e-06
247,4.755918960214017e-06
248,4.671827478754865e-06
249,4.8406459357936726e-06
