rmse_I,rmse_Beta,time_predict,roll_var_seq,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
847.5201442925357,5.979021979319605e-07,0.12999820709228516,37,8194,8914.512414111372,141,157
571.746831211532,8.881116548674398e-07,0.13500237464904785,22,8297,9255.812734325988,147,143
636.653421379395,8.858490585905039e-07,0.13900017738342285,25,8302,9338.408647839407,136,140
838.8761515162793,1.0021395514207597e-06,0.13300037384033203,19,8129,9464.720468198528,153,137
1143.2336254618576,1.054042094339704e-06,0.13699865341186523,14,8431,9763.917695485941,139,130
740.4749354294078,9.582011492470944e-07,0.13617300987243652,22,8203,9452.07792361334,146,137
1066.2329399344374,1.0084067740733882e-06,0.14100217819213867,18,8329,9681.406579161847,143,132
942.0444860748152,9.437499130156261e-07,0.1380012035369873,16,8337,9491.277918587324,141,136
756.4508587321038,9.066975810931939e-07,0.13214564323425293,21,8161,9329.441409208473,145,141
543.5329957272168,7.682842223741209e-07,0.13200163841247559,23,8530,9129.510544590688,142,147
611.1928462346757,9.892239824386862e-07,0.13100290298461914,29,8446,9541.464473082086,134,135
763.9643007427456,1.0409648271995843e-06,0.13100028038024902,25,8347,9561.303144141604,141,134
1418.0486971861744,1.2187378747626638e-06,0.1379997730255127,14,8431,10532.178286478891,131,118
1193.0443288797314,1.1778780821999947e-06,0.13415837287902832,17,8596,10248.675216166668,140,122
1331.0677455635737,1.2599775867346059e-06,0.13799643516540527,16,8557,10267.436250786042,138,121
1184.840732295625,1.2264013144626633e-06,0.13500142097473145,17,8524,10144.406876085823,138,123
909.0411140105601,1.1850641266426454e-06,0.13599753379821777,18,8683,10038.848227552802,136,125
740.4676470952234,1.123651606461982e-06,0.13400006294250488,27,8448,9818.686472576483,140,129
1262.7434032324309,1.22404768102788e-06,0.13500666618347168,14,8293,10034.303073606276,137,125
570.1032273319291,9.83966864636517e-07,0.12599968910217285,35,8581,9381.102326609034,138,139
1533.624099407301,1.4078869184076876e-06,0.1419975757598877,15,8722,11083.69548537643,130,111
1705.4942071547684,1.4261285976622723e-06,0.13815522193908691,14,8700,11159.536766390132,127,111
1417.130672160109,1.2808292640002324e-06,0.1360034942626953,18,8616,10701.811796882226,137,116
1494.339494639432,1.3420746513527137e-06,0.13699769973754883,18,8625,10825.052316984147,134,114
1757.3421025275186,1.3806440609701965e-06,0.1380014419555664,14,8538,10941.377652811576,129,113
