rmse_I,rmse_Beta,time_predict,roll_var_seq,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
4190.991597211364,2.7603662259105346e-06,9.39640188217163,37,8194,15903.899159904835,141,119
5062.26396655607,3.3389297661975345e-06,10.073780298233032,22,8297,17198.8241841902,147,107
4836.195088597137,3.270303319788685e-06,9.917068243026733,25,8302,16994.225336789386,136,107
5185.458396248748,3.4139573116790694e-06,10.37001895904541,19,8129,17345.52376437595,153,105
5614.255826798412,3.5588267701591643e-06,10.43825626373291,14,8431,17814.090520328802,139,99
4971.515362023265,3.310843156349137e-06,10.127243518829346,22,8203,17128.728315056436,146,106
5434.834717592932,3.4809920918201545e-06,10.256006240844727,18,8329,17563.987012862934,143,101
5493.89155395728,3.4708945519213854e-06,10.383823871612549,16,8337,17607.510305905096,141,102
5284.769126884728,3.3775951029923773e-06,10.1321861743927,21,8161,17259.410469432554,145,106
4970.45750135534,3.2841732674378025e-06,10.055214881896973,23,8530,17188.14216673066,142,108
4502.5555813982,3.2113485094829474e-06,9.732505798339844,29,8446,16755.17747478845,134,107
4623.31908247794,3.218854610244261e-06,10.030536651611328,25,8347,16792.23480068834,141,107
5318.569533316659,3.6225119695579873e-06,10.371642827987671,14,8431,17988.12552618541,131,94
5203.502355335277,3.5637454868287255e-06,10.210856676101685,17,8596,17725.897979108166,140,97
5384.321520711782,3.6393783764705354e-06,10.410959482192993,16,8557,17817.080778356463,138,96
5205.366037355669,3.5849742599747286e-06,10.257785558700562,17,8524,17701.39605347196,138,98
5090.24396836765,3.56627821805486e-06,10.159786462783813,18,8683,17688.68709111674,136,98
4421.912166407996,3.2629216414553994e-06,10.017135620117188,27,8448,16839.302377529355,140,105
5432.025821902906,3.6256555797999872e-06,10.32525897026062,14,8293,17817.61389069419,137,97
4104.509254919362,2.993811092758291e-06,9.634605407714844,35,8581,16127.435720738311,138,112
5181.198238841383,3.725373633526787e-06,10.390491485595703,15,8722,18076.222144343927,130,91
5360.244010785578,3.7290464641823397e-06,10.326067924499512,14,8700,18149.140858175408,127,90
5173.849164666536,3.62048536521991e-06,10.259682893753052,18,8616,17818.36899555539,137,94
5120.126935415882,3.62460612161302e-06,10.339424848556519,18,8625,17778.347660866053,134,94
5410.629712962794,3.686706036795192e-06,10.398030996322632,14,8538,17999.854521644287,129,92
5222.963804927307,3.6727731891400855e-06,10.50256085395813,14,8639,17963.238469595737,130,93
5464.712102551278,3.717948558453926e-06,10.470377683639526,14,8537,18097.37384551619,130,91
4790.449445392734,3.6148969996489426e-06,10.135863542556763,21,8725,17692.430668968755,127,95
4839.37479768249,3.598286292607304e-06,10.194488763809204,21,8623,17626.947130196473,128,95
5290.429615809486,3.684893288638384e-06,10.483680725097656,14,8591,17954.59671845627,131,92
5066.154695330736,3.672417195418158e-06,10.130733251571655,20,8635,17809.773217476933,127,92
5399.311848978212,3.764973697495381e-06,10.561397075653076,14,8571,18175.07928417918,132,88
5395.1452943681825,3.7631903237047365e-06,10.365933418273926,14,8654,18125.188198138367,133,89
5100.726186745581,3.821445262594949e-06,10.389914989471436,15,8642,18143.30759501222,123,87
5064.295771989061,3.6679222539564004e-06,10.429317235946655,17,8558,17822.88848249936,126,92
5277.581526176055,3.7588715552462955e-06,10.320600032806396,14,8565,18093.69795187668,124,89
5055.7079668178685,3.756217434738544e-06,10.203313112258911,18,8554,17979.51618623447,128,89
5400.021073067855,3.7751190606553593e-06,10.385228633880615,14,8491,18140.799667853113,126,89
5351.143886997533,3.816619714661302e-06,10.349782705307007,14,8626,18159.91363829487,126,88
5108.4332281637035,3.7343690564472217e-06,10.291734218597412,16,8649,18065.308851166195,123,89
4995.716128118624,3.829619479023823e-06,10.423871278762817,15,8847,18321.403729810147,113,84
5178.497769918235,3.776882359706187e-06,10.216133832931519,16,8732,18123.051258256015,126,87
5213.369539726169,3.7416588042431033e-06,10.376336336135864,16,8508,17997.855187307512,128,88
5306.400272244365,3.7790811014126146e-06,10.356935262680054,14,8567,18275.010625255152,121,85
4884.114901531167,3.695823814583569e-06,10.274476051330566,15,8523,17927.190400922038,121,88
5190.555592756415,3.797117933268783e-06,10.368927955627441,14,8414,18202.363705346324,115,86
5288.1233115760415,3.850480534956293e-06,10.444015979766846,14,8622,18284.007785101454,121,85
5217.464502202208,3.7917416390264384e-06,10.262789726257324,14,8687,18194.478110755525,125,86
5102.980282808307,3.827049955487517e-06,12.672444343566895,14,8702,18165.033902356772,123,87
5036.8487426402435,3.7988291710504806e-06,10.375034809112549,14,8709,18189.993449812577,125,86
5143.787358905847,3.858946415807921e-06,10.31784200668335,14,8494,18326.752267492182,118,82
5019.0594874341605,3.78786617520791e-06,10.484995603561401,14,8722,18272.14107604171,115,83
5118.95131895749,3.825441985643598e-06,10.4734468460083,14,8756,18206.391403554237,115,84
5018.363128963474,3.862111645879909e-06,10.388777017593384,14,8778,18341.190514237485,115,82
5196.144160227523,3.847043049179679e-06,10.521963357925415,14,8723,18285.593707795917,118,83
4885.5097294158695,3.773646206268323e-06,10.47047472000122,14,8803,18093.648442157268,117,84
4977.665878963183,3.829867710162389e-06,10.365423440933228,15,8550,18108.04134429606,118,84
5110.673528187979,3.8460297324969965e-06,10.552798748016357,14,8554,18264.573860513497,113,83
4900.504547920495,3.8307712413436734e-06,10.45592737197876,14,8841,18284.957339708904,113,83
4951.151006621584,3.8127162803451605e-06,10.407210350036621,14,8866,18206.627291440218,120,84
4008.652398513158,4.014858420584899e-06,10.474190711975098,14,11945,18148.185365359124,117,92
4329.5649034949765,3.775664467241372e-06,10.43859314918518,14,11651,18281.74355737341,120,90
4020.0253378946336,3.912191686150761e-06,10.395897150039673,14,11503,18154.57577097331,117,92
4015.2774966917823,3.854590028053087e-06,10.520171880722046,14,11771,18249.193074361334,115,91
3906.9076256715193,3.701483464975753e-06,10.321431636810303,14,11438,18081.104148648235,112,93
4159.834434200088,3.755640274737177e-06,10.393357992172241,14,11516,18226.17007709526,117,92
4183.489764662683,3.944436592084387e-06,10.47546124458313,14,11558,18266.306991748173,118,91
4031.2741260235093,3.949175636830978e-06,10.35869836807251,14,11637,18141.49651289643,120,93
4139.179907388144,3.882000109374248e-06,10.39314317703247,14,11753,18145.812399347156,117,93
4270.628240989416,3.9286433164448625e-06,10.531178712844849,14,11647,18246.823573591053,119,92
4347.215582578918,4.295535716440804e-06,10.27828598022461,14,11629,18354.729614984175,113,88
4198.668999431418,4.1411719467868885e-06,10.384299516677856,14,11394,18354.215556815223,115,88
4105.8565991227015,4.196143120249251e-06,10.442371845245361,14,11870,18312.609505957626,111,88
4087.9153723266413,4.020266604829286e-06,10.37064242362976,14,11451,18317.47963409424,116,88
4030.5045741363165,4.005356524563241e-06,10.474169731140137,14,11706,18298.76723912669,115,88
4282.628008814815,4.0433264449379515e-06,10.433087825775146,14,11552,18415.51678412703,114,87
4233.098985900677,4.2152019953714845e-06,10.358643293380737,14,11655,18331.758508155883,110,88
3931.7986018512984,3.783628559683848e-06,10.543070077896118,14,11683,18215.859146029077,113,89
4136.618688114632,4.358398281549551e-06,10.456328630447388,14,11762,18431.572243929564,113,87
4033.3340954324867,4.417653575341661e-06,10.375429391860962,14,11774,18289.28732835614,109,88
3921.7595249045353,4.570707636888802e-06,10.509329795837402,14,11737,18429.58800346772,111,84
4010.0063023951298,4.29115153413756e-06,10.493505001068115,14,11910,18465.800882310738,109,84
4084.761847833906,4.238426810690028e-06,10.427939891815186,14,11671,18465.345421851183,108,84
3995.58322760543,4.501921694297971e-06,10.52294397354126,14,11891,18427.484410290763,110,84
3893.501936352869,4.1174101986396705e-06,10.488510370254517,14,11772,18396.42063356305,107,84
4111.74470670778,4.222318709666604e-06,10.365104675292969,14,11359,18393.807151475725,116,85
4060.156707024392,4.335700705877605e-06,10.543692588806152,14,11765,18406.966736519775,110,84
4024.007420750956,4.49532346739684e-06,10.417956829071045,14,11954,18452.10908684138,104,84
4089.325690714642,4.320092463451798e-06,10.43803095817566,14,11604,18438.785383117254,108,84
3973.9638769134176,4.223193394189314e-06,10.599826335906982,14,11844,18378.979820008626,106,85
4002.8000962820374,4.24897621608046e-06,10.375639915466309,14,12014,18654.746878769354,102,80
3816.6532599680727,4.1921476961090575e-06,10.546085596084595,14,11910,18529.32979680649,100,81
3785.1893415976774,4.546744450998126e-06,10.421221256256104,14,11969,18498.506350649684,104,81
4065.894871509579,4.616546416520516e-06,10.294782400131226,14,11668,18573.237474307844,104,81
3811.433083757841,4.317453564255534e-06,10.424333572387695,14,11801,18597.104755942943,99,80
3705.9193613511397,4.519467435808679e-06,10.343596458435059,14,11784,18373.63237335666,106,83
3955.7468929166275,4.3426317044341e-06,10.319929122924805,14,11998,18508.356192877996,105,81
4078.6080500128996,4.426397226649059e-06,10.401175737380981,14,11750,18664.138484574585,102,80
4061.957057284146,4.3981902244269205e-06,10.29425311088562,14,12011,18540.47163082843,104,81
3995.5709909523257,4.376762922384903e-06,10.26516342163086,14,11833,18488.01945584584,109,82
3880.2589269399145,4.770839377571477e-06,10.380884647369385,14,12083,18649.122711466283,99,78
3876.2543131017333,4.494654126414061e-06,10.3606595993042,14,12116,18668.476349169872,101,78
4006.716034391244,4.08271554875779e-06,10.27767300605774,14,11831,18632.911175390916,102,79
3937.5042607160135,4.699689869104074e-06,10.4465172290802,14,11921,18627.488479748405,103,79
3850.923108704505,4.496743615932976e-06,10.3643057346344,14,12130,18638.53547273667,99,78
3872.037030211501,4.69278056664543e-06,10.325181484222412,14,11857,18657.770670485424,102,78
3802.778178893267,4.72197520746132e-06,10.403588056564331,14,12165,18703.091234985044,100,78
