rmse_I,rmse_Beta,time_predict,roll_var_seq,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
5394.901350406264,1.573757415470501e-06,0.026999235153198242,37,8194,17621.166120243986,141,108
5328.686430986185,1.5792556018996558e-06,0.004998683929443359,22,8297,17089.819071304115,147,101
5226.435796893713,1.54083789441435e-06,0.006999492645263672,25,8302,17039.52779483596,136,101
5347.9221308213455,1.5728394155282645e-06,0.0050008296966552734,19,8129,16954.154035741223,153,99
5433.008499665864,1.5129502823021369e-06,0.00699925422668457,14,8431,16834.95344099901,139,97
5265.565155188514,1.5502431782374497e-06,0.006997585296630859,22,8203,16955.01558931164,146,100
5421.8027460561525,1.5257244357249764e-06,0.005998373031616211,18,8329,16848.368900876874,143,97
5501.283989127742,1.515151224297776e-06,0.005999565124511719,16,8337,16964.809668752485,141,99
5543.925091756711,1.5443010211715178e-06,0.006000518798828125,21,8161,17053.607302413842,145,100
5296.981551680881,1.5389786189697982e-06,0.005998373031616211,23,8530,17215.168977368437,142,102
4870.792756918943,1.55004869727104e-06,0.006001710891723633,29,8446,16860.818143055483,134,101
5054.515953136317,1.5862662540410186e-06,0.005999565124511719,25,8347,16848.233692569782,141,100
4885.83111556168,1.4760550906026968e-06,0.005998849868774414,14,8431,16507.473187717256,131,94
4957.953748626707,1.489582796206267e-06,0.0069997310638427734,17,8596,16565.221459339027,140,95
5053.623587988997,1.5587943107798653e-06,0.004999637603759766,16,8557,16557.49919704627,138,95
5002.421959601623,1.5551264303143162e-06,0.005001068115234375,17,8524,16615.145515834807,138,96
4866.82186177438,1.556269606253798e-06,0.005997657775878906,18,8683,16637.825072754735,136,96
4701.8666563151255,1.5718811396367094e-06,0.006001472473144531,27,8448,16699.622848074654,140,99
5149.042501653749,1.5909625571891112e-06,0.0059969425201416016,14,8293,16679.95513699352,137,96
4856.500627482092,1.5849221036963844e-06,0.005000591278076172,35,8581,17017.10244895663,138,104
4555.129961391071,1.5120923093957017e-06,0.004998207092285156,15,8722,16289.485997697864,130,92
4689.669675337921,1.5242967585604943e-06,0.005999088287353516,14,8700,16282.196594452545,127,92
4759.362469350128,1.4835541759747979e-06,0.006000041961669922,18,8616,16387.068458074304,137,94
4710.8774274855705,1.50520457797725e-06,0.0050013065338134766,18,8625,16326.788151430635,134,94
4867.616654708365,1.519972792782183e-06,0.0060002803802490234,14,8538,16330.374984757611,129,93
4732.022068680597,1.5577146860887583e-06,0.005001068115234375,14,8639,16360.817248683432,130,93
4847.293389754745,1.4985499884861929e-06,0.006001710891723633,14,8537,16276.135835217829,130,92
4384.50532228082,1.5264277149571608e-06,0.005999326705932617,21,8725,16380.141768797495,127,95
4492.239911426188,1.5064944349507094e-06,0.006001949310302734,21,8623,16309.946479108168,128,94
4785.452999043012,1.5084306052819103e-06,0.006998777389526367,14,8591,16249.624079635418,131,92
4511.010982607997,1.4947858709095593e-06,0.007001638412475586,20,8635,16190.071711868506,127,93
4641.837544671915,1.516338551680588e-06,0.006001710891723633,14,8571,16095.760968431885,132,90
4679.996186572584,1.545245343698793e-06,0.0059986114501953125,14,8654,16098.785955109604,133,90
4369.570838663059,1.6033770994131632e-06,0.005997896194458008,15,8642,16026.374389747114,123,88
4547.578247850613,1.5131053175421014e-06,0.005999088287353516,17,8558,16147.30879099616,126,92
4601.416732072575,1.5445613356133933e-06,0.005998849868774414,14,8565,16073.428711465487,124,90
4384.416112949334,1.5543403359224494e-06,0.003999233245849609,18,8554,16035.65196858532,128,90
4677.212830171121,1.5374085501970317e-06,0.00699925422668457,14,8491,16115.87730532605,126,90
4604.971533133635,1.634222621703332e-06,0.004998683929443359,14,8626,16114.420487977422,126,90
4425.7534844454385,1.495668512988681e-06,0.00599980354309082,16,8649,16089.121670298242,123,90
4065.807307169917,1.518248403417246e-06,0.004998683929443359,15,8847,15891.711135891568,113,86
4355.702221668565,1.5065386008205434e-06,0.004997730255126953,16,8732,15901.637839155319,126,89
4507.493621732254,1.49215575867364e-06,0.0059986114501953125,16,8508,15953.025630021568,128,89
4419.1254591954985,1.4557744474891332e-06,0.005002737045288086,14,8567,15919.835002521217,121,87
4247.958178037044,1.5007994815135216e-06,0.006000041961669922,15,8523,15888.691353617396,121,88
4372.183974957115,1.4734941740488609e-06,0.0060007572174072266,14,8414,15897.154234683116,115,87
4391.3947758964805,1.5482319621712169e-06,0.007002353668212891,14,8622,15899.170274224662,121,87
4385.98903850547,1.5171563875558344e-06,0.00599980354309082,14,8687,15893.273175536833,125,87
4289.13873314001,1.5885881695421355e-06,0.006001710891723633,14,8702,15944.028942473631,123,89
4207.344396544508,1.5241196690335963e-06,0.005999088287353516,14,8709,15906.300762047602,125,88
4168.003722024579,1.5404494513048842e-06,0.0060002803802490234,14,8494,15733.961429064915,118,85
4097.891626540922,1.4145717881386183e-06,0.005000591278076172,14,8722,15717.876589123338,115,84
4241.135164318717,1.5144929667187424e-06,0.004999637603759766,14,8756,15766.681030453708,115,86
4058.791612396324,1.5070426256256254e-06,0.005000114440917969,14,8778,15756.63359784638,115,84
4259.573467265507,1.510292426753564e-06,0.005999326705932617,14,8723,15732.232742021066,118,85
4127.365472484664,1.5001316027057592e-06,0.00599980354309082,14,8803,15706.62505863571,117,84
4160.369024153061,1.5469027393393731e-06,0.005997657775878906,15,8550,15727.062981026003,118,85
4162.3510241688455,1.5231355827937215e-06,0.0049991607666015625,14,8554,15773.502283351976,113,86
3955.6686999403214,1.5216438677366507e-06,0.005999565124511719,14,8841,15743.23771961878,113,85
4060.498113819989,1.5345948310811297e-06,0.00500035285949707,14,8866,15746.245561846801,120,86
3597.454300405592,2.7702758448279082e-06,0.005002021789550781,14,11945,16573.371211564725,117,92
3759.2491277415756,2.2158411043576457e-06,0.0069997310638427734,14,11651,16543.89780756961,120,91
3609.882638017961,2.575922291295758e-06,0.004999637603759766,14,11503,16573.758088148224,117,92
3493.8268235873866,2.4716604157558537e-06,0.005001068115234375,14,11771,16600.119872495856,115,92
3577.740794640176,2.351303810990768e-06,0.00599980354309082,14,11438,16548.028219818923,112,92
3663.3020180302815,2.3100350649343634e-06,0.00599980354309082,14,11516,16632.552505887616,117,93
3613.9627126930777,2.5139903631837166e-06,0.00500035285949707,14,11558,16595.9329375659,118,92
3625.2301069686428,2.6347166673898714e-06,0.005998849868774414,14,11637,16626.209820925138,120,93
3730.4444948456567,2.575554588475141e-06,0.005000591278076172,14,11753,16641.961493795883,117,93
3732.649621298819,2.5212688427437302e-06,0.005997657775878906,14,11647,16626.496565409772,119,93
3633.6053362520374,2.844150355019004e-06,0.006998777389526367,14,11629,16364.226003338179,113,89
3426.304803554575,2.6584198389046574e-06,0.005998849868774414,14,11394,16375.295239566844,115,90
3443.086072886199,2.7908397959566408e-06,0.0050013065338134766,14,11870,16328.028461018414,111,89
3419.684914423214,2.493125807236214e-06,0.0049991607666015625,14,11451,16302.23462782497,116,89
3364.5196585057356,2.55784209127589e-06,0.005000591278076172,14,11706,16327.517289527761,115,89
3496.43096894491,2.4396281022284676e-06,0.005999326705932617,14,11552,16314.688191463645,114,88
3541.66819867062,2.7514764491124113e-06,0.006001472473144531,14,11655,16327.428027822576,110,89
3337.407086039348,2.244539895723389e-06,0.006000518798828125,14,11683,16383.703674555267,113,90
3325.788803742201,3.009920126238757e-06,0.005999565124511719,14,11762,16348.742282020869,113,89
3371.7774999821936,3.012597972318367e-06,0.00600123405456543,14,11774,16265.47211599137,109,88
3088.884415832393,3.080406254118605e-06,0.005999565124511719,14,11737,16098.933028392896,111,85
3126.3585711103333,2.6713623561625695e-06,0.0060002803802490234,14,11910,16127.605622479521,109,86
3183.984313120082,2.6431180109920078e-06,0.006000518798828125,14,11671,16112.735055716472,108,86
3154.857888853327,3.022091248048217e-06,0.0070002079010009766,14,11891,16114.783942393426,110,86
3099.837991665826,2.5323400656391463e-06,0.004998922348022461,14,11772,16112.84338383487,107,86
3251.0994249227933,2.628172672716062e-06,0.005998849868774414,14,11359,16135.239059036794,116,87
3232.5926002984447,2.7901175566260394e-06,0.004999399185180664,14,11765,16139.823888516827,110,86
3146.3626037750632,3.0263959952136653e-06,0.006999969482421875,14,11954,16102.073444492298,104,86
3227.8796739359914,2.7717660100161555e-06,0.005997896194458008,14,11604,16126.110859696963,108,86
3158.422821217336,2.749763622055797e-06,0.007001161575317383,14,11844,16101.327380631405,106,86
2909.12309135288,2.5051111328913684e-06,0.0050008296966552734,14,12014,15979.037073524021,102,83
2838.9799699693576,2.464401104189704e-06,0.006999015808105469,14,11910,15955.835432660553,100,83
2842.275549453551,3.0214133955721737e-06,0.005999326705932617,14,11969,15946.418885588528,104,83
2998.5110191709327,3.0138977204793375e-06,0.00599980354309082,14,11668,15982.07784378891,104,84
2769.100700253321,2.546139949467322e-06,0.0059986114501953125,14,11801,15961.598460956495,99,82
2852.296493867257,2.987097253953785e-06,0.007000446319580078,14,11784,15967.455935939044,106,84
2975.0609148052886,2.714094130021078e-06,0.00700068473815918,14,11998,15964.730701646702,105,84
2939.783087346934,2.699671134581557e-06,0.007000446319580078,14,11750,15997.224293513415,102,84
3043.90204265253,2.809206020769427e-06,0.005001544952392578,14,12011,15956.804464760902,104,84
3009.9953342630056,2.804433158909138e-06,0.005003452301025391,14,11833,16008.396634991594,109,85
2775.4005164171163,3.1781598018860275e-06,0.006999969482421875,14,12083,15858.638934544286,99,81
2765.138380354809,2.7892088428963667e-06,0.006000041961669922,14,12116,15879.1553015836,101,81
