rmse_I,rmse_Beta,time_predict,roll_var_seq,actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
4526.53311871981,2.1110087341183194e-06,0.0,37,8194,17532.394840625984,141,124
4164.151442220631,1.9698527267217684e-06,0.0,22,8297,17379.358246997635,147,125
4107.908741403401,2.030361794218884e-06,0.0,25,8302,16843.88913706266,136,122
4258.834066596652,2.0291834897869145e-06,0.015626907348632812,19,8129,16986.185097072565,153,122
4265.165113872256,2.0483411498175384e-06,0.0,14,8431,16642.014622197556,139,119
4188.539186051709,2.010567423621317e-06,0.0,22,8203,16780.931644126696,146,121
4519.2705031485075,2.1136927805735292e-06,0.0,18,8329,16456.602327407076,143,114
4545.263340433245,2.1279803213827054e-06,0.0,16,8337,16825.346462031528,141,117
4484.828496314494,2.1020174762707658e-06,0.0,21,8161,17003.00395757208,145,121
4275.75365582783,2.0418948971300423e-06,0.0,23,8530,17316.44208584144,142,122
3760.949855775702,1.9649429194540545e-06,0.0,29,8446,16354.142514898385,134,121
3836.2757290014533,1.9198694944427087e-06,0.0,25,8347,16664.04051951633,141,124
3847.477225956684,2.0281503458877076e-06,0.0,14,8431,15720.389300942747,131,111
3733.0651392109007,2.0311487312743076e-06,0.01562190055847168,17,8596,15934.206733468513,140,116
3858.6746624696098,1.989954326540171e-06,0.0,16,8557,15954.024382960084,138,116
3802.877623120902,1.996600188951753e-06,0.0,17,8524,16055.141053760013,138,117
3603.022295243611,1.9353166576285807e-06,0.0,18,8683,16169.740403070238,136,118
3443.833480269832,1.8520004818875543e-06,0.015626907348632812,27,8448,16161.18005317236,140,123
4087.023043734498,2.0187813493547565e-06,0.0,14,8293,16263.910181469839,137,116
3586.4453363171733,1.8776933808380632e-06,0.0,35,8581,16651.949251142578,138,127
3252.421127530561,1.9050104216612136e-06,0.0,15,8722,15238.432342681695,130,113
3368.7084123821646,1.8955261677996235e-06,0.0,14,8700,15202.112671183993,127,112
3505.456032015003,1.9749957526639336e-06,0.0,18,8616,15453.888260365506,137,114
3246.832134451932,1.9008857878912225e-06,0.01562809944152832,18,8625,15449.422545237416,134,118
3408.697969253703,1.8842687786907271e-06,0.0,14,8538,15545.531442836776,129,118
3397.5442947788833,1.8895311269528667e-06,0.0,14,8639,15517.175389020835,130,116
3406.87481773757,1.8925296777222187e-06,0.0,14,8537,15262.061596051062,130,116
3189.780924940673,1.9413810627297315e-06,0.0,21,8725,15436.966370419766,127,115
3132.8627114092574,1.90072915648245e-06,0.015624761581420898,21,8623,15234.140331175906,128,117
3282.0609895334114,1.8781373507467917e-06,0.0,14,8591,15266.379996257347,131,117
3138.013417636501,1.8819323093364512e-06,0.0,20,8635,15049.591992715916,127,116
3309.2456908797017,1.9030498805681344e-06,0.0,14,8571,14755.282620889091,132,110
3116.690740090723,1.8098411966140836e-06,0.0,14,8654,14821.277388066472,133,115
2862.9114683093517,1.7992153993480534e-06,0.015625476837158203,15,8642,14432.571979267099,123,112
3012.7233083079823,1.8165760607830223e-06,0.0,17,8558,15112.253768520124,126,119
3250.2422304411684,1.8721914835680342e-06,0.0,14,8565,14685.860099480218,124,110
2877.592162965572,1.805479568913431e-06,0.0,18,8554,14553.89811168694,128,114
3223.150101080479,1.8879394281184587e-06,0.0,14,8491,14825.949214856406,126,114
